English Sentence,English NER Tagged,Chinese Sentence,Chinese NER Tagged
"We went in and sat down at the booth, and the waitress came over, made a big commotion over Tipper.  She took our order, and then went to the couple in the booth next to us, and she lowered her voice so much, I had to really strain to hear what she was saying.","[('We', 'O'), ('went', 'O'), ('in', 'O'), ('and', 'O'), ('sat', 'O'), ('down', 'O'), ('at', 'O'), ('the', 'O'), ('booth', 'O'), (',', 'O'), ('and', 'O'), ('the', 'O'), ('waitress', 'O'), ('came', 'O'), ('over', 'O'), (',', 'O'), ('made', 'O'), ('a', 'O'), ('big', 'O'), ('commotion', 'O'), ('over', 'O'), ('Tipper', 'PERSON'), ('.', 'O'), ('She', 'O'), ('took', 'O'), ('our', 'O'), ('order', 'O'), (',', 'O'), ('and', 'O'), ('then', 'O'), ('went', 'O'), ('to', 'O'), ('the', 'O'), ('couple', 'O'), ('in', 'O'), ('the', 'O'), ('booth', 'O'), ('next', 'O'), ('to', 'O'), ('us', 'O'), (',', 'O'), ('and', 'O'), ('she', 'O'), ('lowered', 'O'), ('her', 'O'), ('voice', 'O'), ('so', 'O'), ('much', 'O'), (',', 'O'), ('I', 'O'), ('had', 'O'), ('to', 'O'), ('really', 'O'), ('strain', 'O'), ('to', 'O'), ('hear', 'O'), ('what', 'O'), ('she', 'O'), ('was', 'O'), ('saying', 'O'), ('.', 'O')]",§Ú?¨«?¥h¦Z§¤¦b¤p«F¤l¨½¡A¤kªA??¤]¨«¤F??¡C §Ú¸òTipper¤Þ°_¤F¤@???¡C ¦o??¦Z¨«¨ì§Ú?®Ç?«F¤l¨½ªº¤@?±¡??¡A µM¦Z¦oªº?­µ?±o«D±`¤p¥H¦Ü¤_§Ú­n?°_¦Õ¦·¤~¯à§v¨ì¦o¦b?¤°¤\,"[('§', 'O'), ('Ú', 'O'), ('?', 'O'), ('¨', 'O'), ('«', 'O'), ('?', 'O'), ('¥', 'O'), ('h', 'O'), ('¦', 'O'), ('Z', 'O'), ('§', 'O'), ('¤', 'O'), ('¦', 'O'), ('b', 'O'), ('¤', 'O'), ('p', 'O'), ('«', 'O'), ('F', 'O'), ('¤', 'O'), ('l', 'O'), ('¨', 'O'), ('½', 'O'), ('¡', 'O'), ('A', 'O'), ('¤', 'O'), ('k', 'O'), ('ª', 'O'), ('A', 'O'), ('?', 'O'), ('?', 'O'), ('¤', 'O'), (']', 'O'), ('¨', 'O'), ('«', 'O'), ('¤', 'O'), ('F', 'O'), ('?', 'O'), ('?', 'O'), ('¡', 'O'), ('C', 'O'), ('§', 'O'), ('Ú', 'O'), ('¸', 'O'), ('ò', 'O'), ('T', 'O'), ('i', 'O'), ('p', 'O'), ('p', 'O'), ('e', 'O'), ('r', 'O'), ('¤', 'O'), ('Þ', 'O'), ('°', 'O'), ('_', 'O'), ('¤', 'O'), ('F', 'O'), ('¤', 'O'), ('@', 'O'), ('?', 'O'), ('?', 'O'), ('?', 'O'), ('¡', 'O'), ('C', 'O'), ('¦', 'O'), ('o', 'O'), ('?', 'O'), ('?', 'O'), ('¦', 'O'), ('Z', 'O'), ('¨', 'O'), ('«', 'O'), ('¨', 'O'), ('ì', 'O'), ('§', 'O'), ('Ú', 'O'), ('?', 'O'), ('®', 'O'), ('Ç', 'O'), ('?', 'O'), ('«', 'O'), ('F', 'O'), ('¤', 'O'), ('l', 'O'), ('¨', 'O'), ('½', 'O'), ('ª', 'O'), ('º', 'O'), ('¤', 'O'), ('@', 'O'), ('?', 'O'), ('±', 'O'), ('¡', 'O'), ('?', 'O'), ('?', 'O'), ('¡', 'O'), ('A', 'O'), ('µ', 'O'), ('M', 'O'), ('¦', 'O'), ('Z', 'O'), ('¦', 'O'), ('o', 'O'), ('ª', 'O'), ('º', 'O'), ('?', 'O'), ('\xad', 'O'), ('µ', 'O'), ('?', 'O'), ('±', 'O'), ('o', 'O'), ('«', 'O'), ('D', 'O'), ('±', 'O'), ('`', 'O'), ('¤', 'O'), ('p', 'O'), ('¥', 'O'), ('H', 'O'), ('¦', 'O'), ('Ü', 'O'), ('¤', 'O'), ('_', 'O'), ('§', 'O'), ('Ú', 'O'), ('\xad', 'O'), ('n', 'O'), ('?', 'O'), ('°', 'O'), ('_', 'O'), ('¦', 'O'), ('Õ', 'O'), ('¦', 'O'), ('·', 'O'), ('¤', 'O'), ('~', 'O'), ('¯', 'O'), ('à', 'O'), ('§', 'O'), ('v', 'O'), ('¨', 'O'), ('ì', 'O'), ('¦', 'O'), ('o', 'O'), ('¦', 'O'), ('b', 'O'), ('?', 'O'), ('¤', 'O'), ('°', 'O'), ('¤', 'O'), ('\\', 'O')]"
"And she said ""Yes, that's former Vice President Al Gore and his wife, Tipper.""","[('And', 'O'), ('she', 'O'), ('said', 'O'), ('``', 'O'), ('Yes', 'O'), (',', 'O'), ('that', 'O'), (""'s"", 'O'), ('former', 'O'), ('Vice', 'O'), ('President', 'O'), ('Al', 'PERSON'), ('Gore', 'PERSON'), ('and', 'O'), ('his', 'O'), ('wife', 'O'), (',', 'O'), ('Tipper', 'PERSON'), ('.', 'O'), (""''"", 'O')]",±µ?¦o?¡¨¬Oªº¡A¥L?´N¬O«e°Æ??¦ã?¡P¤à?©M¥Lªº©d¤lTipper¡C¡§,"[('±', 'O'), ('µ', 'O'), ('?', 'O'), ('¦', 'O'), ('o', 'O'), ('?', 'O'), ('¡', 'O'), ('¨', 'O'), ('¬', 'O'), ('O', 'O'), ('ª', 'O'), ('º', 'O'), ('¡', 'O'), ('A', 'O'), ('¥', 'O'), ('L', 'O'), ('?', 'O'), ('´', 'O'), ('N', 'O'), ('¬', 'O'), ('O', 'O'), ('«', 'O'), ('e', 'O'), ('°', 'O'), ('Æ', 'O'), ('?', 'O'), ('?', 'O'), ('¦', 'O'), ('ã', 'O'), ('?', 'O'), ('¡', 'O'), ('P', 'O'), ('¤', 'O'), ('à', 'O'), ('?', 'O'), ('©', 'O'), ('M', 'O'), ('¥', 'O'), ('L', 'O'), ('ª', 'O'), ('º', 'O'), ('©', 'O'), ('d', 'O'), ('¤', 'O'), ('l', 'O'), ('T', 'O'), ('i', 'O'), ('p', 'O'), ('p', 'O'), ('e', 'O'), ('r', 'O'), ('¡', 'O'), ('C', 'O'), ('¡', 'O'), ('§', 'O')]"
"And the man said, ""He's come down a long way, hasn't he?""","[('And', 'O'), ('the', 'O'), ('man', 'O'), ('said', 'O'), (',', 'O'), ('``', 'O'), ('He', 'O'), (""'s"", 'O'), ('come', 'O'), ('down', 'O'), ('a', 'O'), ('long', 'O'), ('way', 'O'), (',', 'O'), ('has', 'O'), (""n't"", 'O'), ('he', 'O'), ('?', 'O'), (""''"", 'O')]",¨º?¨kªº±µ??¡A¡§¥L¤w?«D±`§V¤O¤F¡A¤£¬O?¡H¡§,"[('¨', 'O'), ('º', 'O'), ('?', 'O'), ('¨', 'O'), ('k', 'O'), ('ª', 'O'), ('º', 'O'), ('±', 'O'), ('µ', 'O'), ('?', 'O'), ('?', 'O'), ('¡', 'O'), ('A', 'O'), ('¡', 'O'), ('§', 'O'), ('¥', 'O'), ('L', 'O'), ('¤', 'O'), ('w', 'O'), ('?', 'O'), ('«', 'O'), ('D', 'O'), ('±', 'O'), ('`', 'O'), ('§', 'O'), ('V', 'O'), ('¤', 'O'), ('O', 'O'), ('¤', 'O'), ('F', 'O'), ('¡', 'O'), ('A', 'O'), ('¤', 'O'), ('£', 'O'), ('¬', 'O'), ('O', 'O'), ('?', 'O'), ('¡', 'O'), ('H', 'O'), ('¡', 'O'), ('§', 'O')]"
There's been kind of a series of epiphanies.,"[('There', 'O'), (""'s"", 'O'), ('been', 'O'), ('kind', 'O'), ('of', 'O'), ('a', 'O'), ('series', 'O'), ('of', 'O'), ('epiphanies', 'O'), ('.', 'O')]",¤w?ºâ¬O¦³¨Ç??¤F¡C,"[('¤', 'O'), ('w', 'O'), ('?', 'O'), ('º', 'O'), ('â', 'O'), ('¬', 'O'), ('O', 'O'), ('¦', 'O'), ('³', 'O'), ('¨', 'O'), ('Ç', 'O'), ('?', 'O'), ('?', 'O'), ('¤', 'O'), ('F', 'O'), ('¡', 'O'), ('C', 'O')]"
"The very next day, continuing the totally true story, I got on a G-V to fly to Africa to make a speech in Nigeria, in the city of Lagos, on the topic of energy.","[('The', 'O'), ('very', 'O'), ('next', 'O'), ('day', 'O'), (',', 'O'), ('continuing', 'O'), ('the', 'O'), ('totally', 'O'), ('true', 'O'), ('story', 'O'), (',', 'O'), ('I', 'O'), ('got', 'O'), ('on', 'O'), ('a', 'O'), ('G-V', 'O'), ('to', 'O'), ('fly', 'O'), ('to', 'O'), ('Africa', 'LOCATION'), ('to', 'O'), ('make', 'O'), ('a', 'O'), ('speech', 'O'), ('in', 'O'), ('Nigeria', 'LOCATION'), (',', 'O'), ('in', 'O'), ('the', 'O'), ('city', 'O'), ('of', 'O'), ('Lagos', 'LOCATION'), (',', 'O'), ('on', 'O'), ('the', 'O'), ('topic', 'O'), ('of', 'O'), ('energy', 'O'), ('.', 'O')]",²Ä¤G¤Ñ¡A??¤@?§¹¥þ¯u?ªº¬G¨Æ¡C §Úµn¤WG-5´N?¨ì«D¬wªº¥§?§Q?°µºt?¥h¤F¡A ¦b­º³£©Ô¦U´µ¡A¥D??¬O?¤_¯à·½¡C,"[('²', 'O'), ('Ä', 'O'), ('¤', 'O'), ('G', 'O'), ('¤', 'O'), ('Ñ', 'O'), ('¡', 'O'), ('A', 'O'), ('?', 'O'), ('?', 'O'), ('¤', 'O'), ('@', 'O'), ('?', 'O'), ('§', 'O'), ('¹', 'O'), ('¥', 'O'), ('þ', 'O'), ('¯', 'O'), ('u', 'O'), ('?', 'O'), ('ª', 'O'), ('º', 'O'), ('¬', 'O'), ('G', 'O'), ('¨', 'O'), ('Æ', 'O'), ('¡', 'O'), ('C', 'O'), ('§', 'O'), ('Ú', 'O'), ('µ', 'O'), ('n', 'O'), ('¤', 'O'), ('W', 'O'), ('G', 'O'), ('-', 'O'), ('5', 'O'), ('´', 'O'), ('N', 'O'), ('?', 'O'), ('¨', 'O'), ('ì', 'O'), ('«', 'O'), ('D', 'O'), ('¬', 'O'), ('w', 'O'), ('ª', 'O'), ('º', 'O'), ('¥', 'O'), ('§', 'O'), ('?', 'O'), ('§', 'O'), ('Q', 'O'), ('?', 'O'), ('°', 'O'), ('µ', 'O'), ('º', 'O'), ('t', 'O'), ('?', 'O'), ('¥', 'O'), ('h', 'O'), ('¤', 'O'), ('F', 'O'), ('¡', 'O'), ('A', 'O'), ('¦', 'O'), ('b', 'O'), ('\xad', 'O'), ('º', 'O'), ('³', 'O'), ('£', 'O'), ('©', 'O'), ('Ô', 'O'), ('¦', 'O'), ('U', 'O'), ('´', 'O'), ('µ', 'O'), ('¡', 'O'), ('A', 'O'), ('¥', 'O'), ('D', 'O'), ('?', 'O'), ('?', 'O'), ('¬', 'O'), ('O', 'O'), ('?', 'O'), ('¤', 'O'), ('_', 'O'), ('¯', 'O'), ('à', 'O'), ('·', 'O'), ('½', 'O'), ('¡', 'O'), ('C', 'O')]"
And I began the speech by telling them the story of what had just happened the day before in Nashville.,"[('And', 'O'), ('I', 'O'), ('began', 'O'), ('the', 'O'), ('speech', 'O'), ('by', 'O'), ('telling', 'O'), ('them', 'O'), ('the', 'O'), ('story', 'O'), ('of', 'O'), ('what', 'O'), ('had', 'O'), ('just', 'O'), ('happened', 'O'), ('the', 'O'), ('day', 'O'), ('before', 'O'), ('in', 'O'), ('Nashville', 'LOCATION'), ('.', 'O')]",¦Óºt??©l§Ú?§â«e¤@¤Ñ?¥Í¦b?¤°??¦{ ªº¬G¨Æ?¤F¤@¹M¡C,"[('¦', 'O'), ('Ó', 'O'), ('º', 'O'), ('t', 'O'), ('?', 'O'), ('?', 'O'), ('©', 'O'), ('l', 'O'), ('§', 'O'), ('Ú', 'O'), ('?', 'O'), ('§', 'O'), ('â', 'O'), ('«', 'O'), ('e', 'O'), ('¤', 'O'), ('@', 'O'), ('¤', 'O'), ('Ñ', 'O'), ('?', 'O'), ('¥', 'O'), ('Í', 'O'), ('¦', 'O'), ('b', 'O'), ('?', 'O'), ('¤', 'O'), ('°', 'O'), ('?', 'O'), ('?', 'O'), ('¦', 'O'), ('{', 'O'), ('ª', 'O'), ('º', 'O'), ('¬', 'O'), ('G', 'O'), ('¨', 'O'), ('Æ', 'O'), ('?', 'O'), ('¤', 'O'), ('F', 'O'), ('¤', 'O'), ('@', 'O'), ('¹', 'O'), ('M', 'O'), ('¡', 'O'), ('C', 'O')]"
"And I told it pretty much the same way I've just shared it with you: Tipper and I were driving ourselves, Shoney's, low-cost family restaurant chain, what the man said -- they laughed.","[('And', 'O'), ('I', 'O'), ('told', 'O'), ('it', 'O'), ('pretty', 'O'), ('much', 'O'), ('the', 'O'), ('same', 'O'), ('way', 'O'), ('I', 'O'), (""'ve"", 'O'), ('just', 'O'), ('shared', 'O'), ('it', 'O'), ('with', 'O'), ('you', 'O'), (':', 'O'), ('Tipper', 'PERSON'), ('and', 'O'), ('I', 'O'), ('were', 'O'), ('driving', 'O'), ('ourselves', 'O'), (',', 'O'), ('Shoney', 'PERSON'), (""'s"", 'O'), (',', 'O'), ('low-cost', 'O'), ('family', 'O'), ('restaurant', 'O'), ('chain', 'O'), (',', 'O'), ('what', 'O'), ('the', 'O'), ('man', 'O'), ('said', 'O'), ('--', 'O'), ('they', 'O'), ('laughed', 'O'), ('.', 'O')]",´N¦p¦P??§Ú?§A??ªº¬G¨Æ¤@¼Ò¤@?¡C §Ú©d¤l©M§Ú¦Û¤v??¡AShoney'sÀ\?¡A§C¦¨¥»®a®x??À\? ?©±¨º?¨k¤Hªº?--µM¦Z??¯º¤F,"[('´', 'O'), ('N', 'O'), ('¦', 'O'), ('p', 'O'), ('¦', 'O'), ('P', 'O'), ('?', 'O'), ('?', 'O'), ('§', 'O'), ('Ú', 'O'), ('?', 'O'), ('§', 'O'), ('A', 'O'), ('?', 'O'), ('?', 'O'), ('ª', 'O'), ('º', 'O'), ('¬', 'O'), ('G', 'O'), ('¨', 'O'), ('Æ', 'O'), ('¤', 'O'), ('@', 'O'), ('¼', 'O'), ('Ò', 'O'), ('¤', 'O'), ('@', 'O'), ('?', 'O'), ('¡', 'O'), ('C', 'O'), ('§', 'O'), ('Ú', 'O'), ('©', 'O'), ('d', 'O'), ('¤', 'O'), ('l', 'O'), ('©', 'O'), ('M', 'O'), ('§', 'O'), ('Ú', 'O'), ('¦', 'O'), ('Û', 'O'), ('¤', 'O'), ('v', 'O'), ('?', 'O'), ('?', 'O'), ('¡', 'O'), ('A', 'O'), ('S', 'O'), ('h', 'O'), ('o', 'O'), ('n', 'O'), ('e', 'O'), ('y', 'O'), (""'"", 'O'), ('s', 'O'), ('À', 'O'), ('\\', 'O'), ('?', 'O'), ('¡', 'O'), ('A', 'O'), ('§', 'O'), ('C', 'O'), ('¦', 'O'), ('¨', 'O'), ('¥', 'O'), ('»', 'O'), ('®', 'O'), ('a', 'O'), ('®', 'O'), ('x', 'O'), ('?', 'O'), ('?', 'O'), ('À', 'O'), ('\\', 'O'), ('?', 'O'), ('?', 'O'), ('©', 'O'), ('±', 'O'), ('¨', 'O'), ('º', 'O'), ('?', 'O'), ('¨', 'O'), ('k', 'O'), ('¤', 'O'), ('H', 'O'), ('ª', 'O'), ('º', 'O'), ('?', 'O'), ('-', 'O'), ('-', 'O'), ('µ', 'O'), ('M', 'O'), ('¦', 'O'), ('Z', 'O'), ('?', 'O'), ('?', 'O'), ('¯', 'O'), ('º', 'O'), ('¤', 'O'), ('F', 'O')]"
"I gave my speech, then went back out to the airport to fly back home.","[('I', 'O'), ('gave', 'O'), ('my', 'O'), ('speech', 'O'), (',', 'O'), ('then', 'O'), ('went', 'O'), ('back', 'O'), ('out', 'O'), ('to', 'O'), ('the', 'O'), ('airport', 'O'), ('to', 'O'), ('fly', 'O'), ('back', 'O'), ('home', 'O'), ('.', 'O')]",ºt?§¹¦Z´N?¨ì?Éó??¦^¦Ñ®a¤F,"[('º', 'O'), ('t', 'O'), ('?', 'O'), ('§', 'O'), ('¹', 'O'), ('¦', 'O'), ('Z', 'O'), ('´', 'O'), ('N', 'O'), ('?', 'O'), ('¨', 'O'), ('ì', 'O'), ('?', 'O'), ('É', 'O'), ('ó', 'O'), ('?', 'O'), ('?', 'O'), ('¦', 'O'), ('^', 'O'), ('¦', 'O'), ('Ñ', 'O'), ('®', 'O'), ('a', 'O'), ('¤', 'O'), ('F', 'O')]"
"I fell asleep on the plane until, during the middle of the night, we landed on the Azores Islands for refueling.","[('I', 'O'), ('fell', 'O'), ('asleep', 'O'), ('on', 'O'), ('the', 'O'), ('plane', 'O'), ('until', 'O'), (',', 'O'), ('during', 'O'), ('the', 'O'), ('middle', 'O'), ('of', 'O'), ('the', 'O'), ('night', 'O'), (',', 'O'), ('we', 'O'), ('landed', 'O'), ('on', 'O'), ('the', 'O'), ('Azores', 'LOCATION'), ('Islands', 'LOCATION'), ('for', 'O'), ('refueling', 'O'), ('.', 'O')]",±µ?§Ú´N¦b?Éó¤WºÎ?¤F¡Aª½¨ì¤T§ó¥b©]¤~¿ô?¡A ?Éó¦b?³t?¸s?­°¸¨¥[ªo¡C,"[('±', 'O'), ('µ', 'O'), ('?', 'O'), ('§', 'O'), ('Ú', 'O'), ('´', 'O'), ('N', 'O'), ('¦', 'O'), ('b', 'O'), ('?', 'O'), ('É', 'O'), ('ó', 'O'), ('¤', 'O'), ('W', 'O'), ('º', 'O'), ('Î', 'O'), ('?', 'O'), ('¤', 'O'), ('F', 'O'), ('¡', 'O'), ('A', 'O'), ('ª', 'O'), ('½', 'O'), ('¨', 'O'), ('ì', 'O'), ('¤', 'O'), ('T', 'O'), ('§', 'O'), ('ó', 'O'), ('¥', 'O'), ('b', 'O'), ('©', 'O'), (']', 'O'), ('¤', 'O'), ('~', 'O'), ('¿', 'O'), ('ô', 'O'), ('?', 'O'), ('¡', 'O'), ('A', 'O'), ('?', 'O'), ('É', 'O'), ('ó', 'O'), ('¦', 'O'), ('b', 'O'), ('?', 'O'), ('³', 'O'), ('t', 'O'), ('?', 'O'), ('¸', 'O'), ('s', 'O'), ('?', 'O'), ('\xad', 'O'), ('°', 'O'), ('¸', 'O'), ('¨', 'O'), ('¥', 'O'), ('[', 'O'), ('ª', 'O'), ('o', 'O'), ('¡', 'O'), ('C', 'O')]"
"I woke up, they opened the door, I went out to get some fresh air, and I looked, and there was a man running across the runway.","[('I', 'O'), ('woke', 'O'), ('up', 'O'), (',', 'O'), ('they', 'O'), ('opened', 'O'), ('the', 'O'), ('door', 'O'), (',', 'O'), ('I', 'O'), ('went', 'O'), ('out', 'O'), ('to', 'O'), ('get', 'O'), ('some', 'O'), ('fresh', 'O'), ('air', 'O'), (',', 'O'), ('and', 'O'), ('I', 'O'), ('looked', 'O'), (',', 'O'), ('and', 'O'), ('there', 'O'), ('was', 'O'), ('a', 'O'), ('man', 'O'), ('running', 'O'), ('across', 'O'), ('the', 'O'), ('runway', 'O'), ('.', 'O')]",§Ú¿ô¤F??¡A¨«¥X?Éó¥h©I§l?·s?ªÅÉa¡A µM¦Z§Ú¬Ý¨ì¦³?¤H¶]??Éó¶]¹D,"[('§', 'O'), ('Ú', 'O'), ('¿', 'O'), ('ô', 'O'), ('¤', 'O'), ('F', 'O'), ('?', 'O'), ('?', 'O'), ('¡', 'O'), ('A', 'O'), ('¨', 'O'), ('«', 'O'), ('¥', 'O'), ('X', 'O'), ('?', 'O'), ('É', 'O'), ('ó', 'O'), ('¥', 'O'), ('h', 'O'), ('©', 'O'), ('I', 'O'), ('§', 'O'), ('l', 'O'), ('?', 'O'), ('·', 'O'), ('s', 'O'), ('?', 'O'), ('ª', 'O'), ('Å', 'O'), ('É', 'O'), ('a', 'O'), ('¡', 'O'), ('A', 'O'), ('µ', 'O'), ('M', 'O'), ('¦', 'O'), ('Z', 'O'), ('§', 'O'), ('Ú', 'O'), ('¬', 'O'), ('Ý', 'O'), ('¨', 'O'), ('ì', 'O'), ('¦', 'O'), ('³', 'O'), ('?', 'O'), ('¤', 'O'), ('H', 'O'), ('¶', 'O'), (']', 'O'), ('?', 'O'), ('?', 'O'), ('É', 'O'), ('ó', 'O'), ('¶', 'O'), (']', 'O'), ('¹', 'O'), ('D', 'O')]"
"And he was waving a piece of paper, and he was yelling, ""Call Washington! Call Washington!""","[('And', 'O'), ('he', 'O'), ('was', 'O'), ('waving', 'O'), ('a', 'O'), ('piece', 'O'), ('of', 'O'), ('paper', 'O'), (',', 'O'), ('and', 'O'), ('he', 'O'), ('was', 'O'), ('yelling', 'O'), (',', 'O'), ('``', 'O'), ('Call', 'O'), ('Washington', 'LOCATION'), ('!', 'O'), ('Call', 'O'), ('Washington', 'LOCATION'), ('!', 'O'), (""''"", 'O')]",¥L¤@??»R?¤@??¡A¤@?¤j³Û¡A ¡¨¥´????²±?¡I¥´????²±?¡I¡§,"[('¥', 'O'), ('L', 'O'), ('¤', 'O'), ('@', 'O'), ('?', 'O'), ('?', 'O'), ('»', 'O'), ('R', 'O'), ('?', 'O'), ('¤', 'O'), ('@', 'O'), ('?', 'O'), ('?', 'O'), ('¡', 'O'), ('A', 'O'), ('¤', 'O'), ('@', 'O'), ('?', 'O'), ('¤', 'O'), ('j', 'O'), ('³', 'O'), ('Û', 'O'), ('¡', 'O'), ('A', 'O'), ('¡', 'O'), ('¨', 'O'), ('¥', 'O'), ('´', 'O'), ('?', 'O'), ('?', 'O'), ('?', 'O'), ('?', 'O'), ('²', 'O'), ('±', 'O'), ('?', 'O'), ('¡', 'O'), ('I', 'O'), ('¥', 'O'), ('´', 'O'), ('?', 'O'), ('?', 'O'), ('?', 'O'), ('?', 'O'), ('²', 'O'), ('±', 'O'), ('?', 'O'), ('¡', 'O'), ('I', 'O'), ('¡', 'O'), ('§', 'O')]"
