English Sentence,English NER Tagged,Chinese Sentence,Chinese NER Tagged
"And I thought to myself, in the middle of the night, in the middle of the Atlantic, what in the world could be wrong in Washington?","[('And', 'O'), ('I', 'O'), ('thought', 'O'), ('to', 'O'), ('myself', 'O'), (',', 'O'), ('in', 'O'), ('the', 'O'), ('middle', 'O'), ('of', 'O'), ('the', 'O'), ('night', 'O'), (',', 'O'), ('in', 'O'), ('the', 'O'), ('middle', 'O'), ('of', 'O'), ('the', 'O'), ('Atlantic', 'LOCATION'), (',', 'O'), ('what', 'O'), ('in', 'O'), ('the', 'O'), ('world', 'O'), ('could', 'O'), ('be', 'O'), ('wrong', 'O'), ('in', 'O'), ('Washington', 'LOCATION'), ('?', 'O')]",µM¦Z§Ú¦Û¤v¦b¨º«ä¦Ò¡A¤T§ó¥b©]¦b¤j¦è¬vªº¤¤¤ß ¨º¤\?²±?¯à¦³¤°¤\¥X?©O¡H,"[('µ', 'O'), ('M', 'O'), ('¦', 'O'), ('Z', 'O'), ('§', 'O'), ('Ú', 'O'), ('¦', 'O'), ('Û', 'O'), ('¤', 'O'), ('v', 'O'), ('¦', 'O'), ('b', 'O'), ('¨', 'O'), ('º', 'O'), ('«', 'O'), ('ä', 'O'), ('¦', 'O'), ('Ò', 'O'), ('¡', 'O'), ('A', 'O'), ('¤', 'O'), ('T', 'O'), ('§', 'O'), ('ó', 'O'), ('¥', 'O'), ('b', 'O'), ('©', 'O'), (']', 'O'), ('¦', 'O'), ('b', 'O'), ('¤', 'O'), ('j', 'O'), ('¦', 'O'), ('è', 'O'), ('¬', 'O'), ('v', 'O'), ('ª', 'O'), ('º', 'O'), ('¤', 'O'), ('¤', 'O'), ('¤', 'O'), ('ß', 'O'), ('¨', 'O'), ('º', 'O'), ('¤', 'O'), ('\\', 'O'), ('?', 'O'), ('²', 'O'), ('±', 'O'), ('?', 'O'), ('¯', 'O'), ('à', 'O'), ('¦', 'O'), ('³', 'O'), ('¤', 'O'), ('°', 'O'), ('¤', 'O'), ('\\', 'O'), ('¥', 'O'), ('X', 'O'), ('?', 'O'), ('©', 'O'), ('O', 'O'), ('¡', 'O'), ('H', 'O')]"
Then I remembered it could be a bunch of things.,"[('Then', 'O'), ('I', 'O'), ('remembered', 'O'), ('it', 'O'), ('could', 'O'), ('be', 'O'), ('a', 'O'), ('bunch', 'O'), ('of', 'O'), ('things', 'O'), ('.', 'O')]",±µ¤U?§Ú?°_?­ì??¬O¦³«Ü¦h¨Æ±¡ªº¡C,"[('±', 'O'), ('µ', 'O'), ('¤', 'O'), ('U', 'O'), ('?', 'O'), ('§', 'O'), ('Ú', 'O'), ('?', 'O'), ('°', 'O'), ('_', 'O'), ('?', 'O'), ('\xad', 'O'), ('ì', 'O'), ('?', 'O'), ('?', 'O'), ('¬', 'O'), ('O', 'O'), ('¦', 'O'), ('³', 'O'), ('«', 'O'), ('Ü', 'O'), ('¦', 'O'), ('h', 'O'), ('¨', 'O'), ('Æ', 'O'), ('±', 'O'), ('¡', 'O'), ('ª', 'O'), ('º', 'O'), ('¡', 'O'), ('C', 'O')]"
"But what it turned out to be, was that my staff was extremely upset because one of the wire services in Nigeria had already written a story about my speech, and it had already been printed in cities all across the United States of America.","[('But', 'O'), ('what', 'O'), ('it', 'O'), ('turned', 'O'), ('out', 'O'), ('to', 'O'), ('be', 'O'), (',', 'O'), ('was', 'O'), ('that', 'O'), ('my', 'O'), ('staff', 'O'), ('was', 'O'), ('extremely', 'O'), ('upset', 'O'), ('because', 'O'), ('one', 'O'), ('of', 'O'), ('the', 'O'), ('wire', 'O'), ('services', 'O'), ('in', 'O'), ('Nigeria', 'LOCATION'), ('had', 'O'), ('already', 'O'), ('written', 'O'), ('a', 'O'), ('story', 'O'), ('about', 'O'), ('my', 'O'), ('speech', 'O'), (',', 'O'), ('and', 'O'), ('it', 'O'), ('had', 'O'), ('already', 'O'), ('been', 'O'), ('printed', 'O'), ('in', 'O'), ('cities', 'O'), ('all', 'O'), ('across', 'O'), ('the', 'O'), ('United', 'LOCATION'), ('States', 'LOCATION'), ('of', 'LOCATION'), ('America', 'LOCATION'), ('.', 'O')]",¦ý¬O?ªG?©ú­ì?¬O§Úªº?¤uªºÌå«×?Ä¼ ¦]?¥§?§Q?¦³¤@®a³q?ªÀ¤w?§â§Úªººt??¦¨¤@?¬G¨Æ ¦}¥B¤w?¦L¥X?¦b¥þ¬ü?¦æ¤F,"[('¦', 'O'), ('ý', 'O'), ('¬', 'O'), ('O', 'O'), ('?', 'O'), ('ª', 'O'), ('G', 'O'), ('?', 'O'), ('©', 'O'), ('ú', 'O'), ('\xad', 'O'), ('ì', 'O'), ('?', 'O'), ('¬', 'O'), ('O', 'O'), ('§', 'O'), ('Ú', 'O'), ('ª', 'O'), ('º', 'O'), ('?', 'O'), ('¤', 'O'), ('u', 'O'), ('ª', 'O'), ('º', 'O'), ('Ì', 'O'), ('å', 'O'), ('«', 'O'), ('×', 'O'), ('?', 'O'), ('Ä', 'O'), ('¼', 'O'), ('¦', 'O'), (']', 'O'), ('?', 'O'), ('¥', 'O'), ('§', 'O'), ('?', 'O'), ('§', 'O'), ('Q', 'O'), ('?', 'O'), ('¦', 'O'), ('³', 'O'), ('¤', 'O'), ('@', 'O'), ('®', 'O'), ('a', 'O'), ('³', 'O'), ('q', 'O'), ('?', 'O'), ('ª', 'O'), ('À', 'O'), ('¤', 'O'), ('w', 'O'), ('?', 'O'), ('§', 'O'), ('â', 'O'), ('§', 'O'), ('Ú', 'O'), ('ª', 'O'), ('º', 'O'), ('º', 'O'), ('t', 'O'), ('?', 'O'), ('?', 'O'), ('¦', 'O'), ('¨', 'O'), ('¤', 'O'), ('@', 'O'), ('?', 'O'), ('¬', 'O'), ('G', 'O'), ('¨', 'O'), ('Æ', 'O'), ('¦', 'O'), ('}', 'O'), ('¥', 'O'), ('B', 'O'), ('¤', 'O'), ('w', 'O'), ('?', 'O'), ('¦', 'O'), ('L', 'O'), ('¥', 'O'), ('X', 'O'), ('?', 'O'), ('¦', 'O'), ('b', 'O'), ('¥', 'O'), ('þ', 'O'), ('¬', 'O'), ('ü', 'O'), ('?', 'O'), ('¦', 'O'), ('æ', 'O'), ('¤', 'O'), ('F', 'O')]"
"It was printed in Monterey, I checked.  And the story began, ""Former Vice President Al Gore announced in Nigeria yesterday,"" quote: 'My wife Tipper and I have opened a low-cost family restaurant'"" --  ""'named Shoney's, and we are running it ourselves.'"" Before I could get back to U.S. soil, David Letterman and Jay Leno had already started in on -- one of them had me in a big white chef's hat,","[('It', 'O'), ('was', 'O'), ('printed', 'O'), ('in', 'O'), ('Monterey', 'LOCATION'), (',', 'O'), ('I', 'O'), ('checked', 'O'), ('.', 'O'), ('And', 'O'), ('the', 'O'), ('story', 'O'), ('began', 'O'), (',', 'O'), ('``', 'O'), ('Former', 'O'), ('Vice', 'O'), ('President', 'O'), ('Al', 'PERSON'), ('Gore', 'PERSON'), ('announced', 'O'), ('in', 'O'), ('Nigeria', 'LOCATION'), ('yesterday', 'O'), (',', 'O'), (""''"", 'O'), ('quote', 'O'), (':', 'O'), (""'My"", 'O'), ('wife', 'O'), ('Tipper', 'PERSON'), ('and', 'O'), ('I', 'O'), ('have', 'O'), ('opened', 'O'), ('a', 'O'), ('low-cost', 'O'), ('family', 'O'), ('restaurant', 'O'), (""'"", 'O'), (""''"", 'O'), ('--', 'O'), ('``', 'O'), (""'named"", 'O'), ('Shoney', 'O'), (""'s"", 'O'), (',', 'O'), ('and', 'O'), ('we', 'O'), ('are', 'O'), ('running', 'O'), ('it', 'O'), ('ourselves', 'O'), ('.', 'O'), (""'"", 'O'), (""''"", 'O'), ('Before', 'O'), ('I', 'O'), ('could', 'O'), ('get', 'O'), ('back', 'O'), ('to', 'O'), ('U.S.', 'LOCATION'), ('soil', 'O'), (',', 'O'), ('David', 'PERSON'), ('Letterman', 'PERSON'), ('and', 'O'), ('Jay', 'PERSON'), ('Leno', 'PERSON'), ('had', 'O'), ('already', 'O'), ('started', 'O'), ('in', 'O'), ('on', 'O'), ('--', 'O'), ('one', 'O'), ('of', 'O'), ('them', 'O'), ('had', 'O'), ('me', 'O'), ('in', 'O'), ('a', 'O'), ('big', 'O'), ('white', 'O'), ('chef', 'O'), (""'s"", 'O'), ('hat', 'O'), (',', 'O')]","-- §Ú¬d?¤F¬O¦b»X¯S§Q?¦L¨êªº¡A¦Ó?ªº¬G¨Æ?¬O????ªº¡A ¡¨«e°Æ??¦ã?¡P¤à?«e¤Ñ¦b¥§?§Q??©ú¡A ¡¥§ÚÉO§Ú©d¤lTipper?¤F¤@®a§C¦¨¥»®a®x??À\?¡A¦W?Shoney's, ¦Ó¥B¬O¦³§Ú?¦Û¤v??ªº¡C¡§ ¦b§Ú¦^¨ì¬ü?¥»¤g«e¡A À¹??¯S°Ò©MªN¥ì??¤w??©l¦b·d?¨Ç¥Í·N¤F -- ¥L?¤¤ªº¤@?¤H??§ÚÀ¹¤F?«Ü¤jªº¤j?´U©O¡A","[('-', 'O'), ('-', 'O'), ('§', 'O'), ('Ú', 'O'), ('¬', 'O'), ('d', 'O'), ('?', 'O'), ('¤', 'O'), ('F', 'O'), ('¬', 'O'), ('O', 'O'), ('¦', 'O'), ('b', 'O'), ('»', 'O'), ('X', 'O'), ('¯', 'O'), ('S', 'O'), ('§', 'O'), ('Q', 'O'), ('?', 'O'), ('¦', 'O'), ('L', 'O'), ('¨', 'O'), ('ê', 'O'), ('ª', 'O'), ('º', 'O'), ('¡', 'O'), ('A', 'O'), ('¦', 'O'), ('Ó', 'O'), ('?', 'O'), ('ª', 'O'), ('º', 'O'), ('¬', 'O'), ('G', 'O'), ('¨', 'O'), ('Æ', 'O'), ('?', 'O'), ('¬', 'O'), ('O', 'O'), ('?', 'O'), ('?', 'O'), ('?', 'O'), ('?', 'O'), ('ª', 'O'), ('º', 'O'), ('¡', 'O'), ('A', 'O'), ('¡', 'O'), ('¨', 'O'), ('«', 'O'), ('e', 'O'), ('°', 'O'), ('Æ', 'O'), ('?', 'O'), ('?', 'O'), ('¦', 'O'), ('ã', 'O'), ('?', 'O'), ('¡', 'O'), ('P', 'O'), ('¤', 'O'), ('à', 'O'), ('?', 'O'), ('«', 'O'), ('e', 'O'), ('¤', 'O'), ('Ñ', 'O'), ('¦', 'O'), ('b', 'O'), ('¥', 'O'), ('§', 'O'), ('?', 'O'), ('§', 'O'), ('Q', 'O'), ('?', 'O'), ('?', 'O'), ('©', 'O'), ('ú', 'O'), ('¡', 'O'), ('A', 'O'), ('¡', 'O'), ('¥', 'O'), ('§', 'O'), ('Ú', 'O'), ('É', 'O'), ('O', 'O'), ('§', 'O'), ('Ú', 'O'), ('©', 'O'), ('d', 'O'), ('¤', 'O'), ('l', 'O'), ('T', 'O'), ('i', 'O'), ('p', 'O'), ('p', 'O'), ('e', 'O'), ('r', 'O'), ('?', 'O'), ('¤', 'O'), ('F', 'O'), ('¤', 'O'), ('@', 'O'), ('®', 'O'), ('a', 'O'), ('§', 'O'), ('C', 'O'), ('¦', 'O'), ('¨', 'O'), ('¥', 'O'), ('»', 'O'), ('®', 'O'), ('a', 'O'), ('®', 'O'), ('x', 'O'), ('?', 'O'), ('?', 'O'), ('À', 'O'), ('\\', 'O'), ('?', 'O'), ('¡', 'O'), ('A', 'O'), ('¦', 'O'), ('W', 'O'), ('?', 'O'), ('S', 'O'), ('h', 'O'), ('o', 'O'), ('n', 'O'), ('e', 'O'), ('y', 'O'), (""'"", 'O'), ('s', 'O'), (',', 'O'), ('¦', 'O'), ('Ó', 'O'), ('¥', 'O'), ('B', 'O'), ('¬', 'O'), ('O', 'O'), ('¦', 'O'), ('³', 'O'), ('§', 'O'), ('Ú', 'O'), ('?', 'O'), ('¦', 'O'), ('Û', 'O'), ('¤', 'O'), ('v', 'O'), ('?', 'O'), ('?', 'O'), ('ª', 'O'), ('º', 'O'), ('¡', 'O'), ('C', 'O'), ('¡', 'O'), ('§', 'O'), ('¦', 'O'), ('b', 'O'), ('§', 'O'), ('Ú', 'O'), ('¦', 'O'), ('^', 'O'), ('¨', 'O'), ('ì', 'O'), ('¬', 'O'), ('ü', 'O'), ('?', 'O'), ('¥', 'O'), ('»', 'O'), ('¤', 'O'), ('g', 'O'), ('«', 'O'), ('e', 'O'), ('¡', 'O'), ('A', 'O'), ('À', 'O'), ('¹', 'O'), ('?', 'O'), ('?', 'O'), ('¯', 'O'), ('S', 'O'), ('°', 'O'), ('Ò', 'O'), ('©', 'O'), ('M', 'O'), ('ª', 'O'), ('N', 'O'), ('¥', 'O'), ('ì', 'O'), ('?', 'O'), ('?', 'O'), ('¤', 'O'), ('w', 'O'), ('?', 'O'), ('?', 'O'), ('©', 'O'), ('l', 'O'), ('¦', 'O'), ('b', 'O'), ('·', 'O'), ('d', 'O'), ('?', 'O'), ('¨', 'O'), ('Ç', 'O'), ('¥', 'O'), ('Í', 'O'), ('·', 'O'), ('N', 'O'), ('¤', 'O'), ('F', 'O'), ('-', 'O'), ('-', 'O'), ('¥', 'O'), ('L', 'O'), ('?', 'O'), ('¤', 'O'), ('¤', 'O'), ('ª', 'O'), ('º', 'O'), ('¤', 'O'), ('@', 'O'), ('?', 'O'), ('¤', 'O'), ('H', 'O'), ('?', 'O'), ('?', 'O'), ('§', 'O'), ('Ú', 'O'), ('À', 'O'), ('¹', 'O'), ('¤', 'O'), ('F', 'O'), ('?', 'O'), ('«', 'O'), ('Ü', 'O'), ('¤', 'O'), ('j', 'O'), ('ª', 'O'), ('º', 'O'), ('¤', 'O'), ('j', 'O'), ('?', 'O'), ('´', 'O'), ('U', 'O'), ('©', 'O'), ('O', 'O'), ('¡', 'O'), ('A', 'O')]"
"Tipper was saying, ""One more burger with fries!""","[('Tipper', 'PERSON'), ('was', 'O'), ('saying', 'O'), (',', 'O'), ('``', 'O'), ('One', 'O'), ('more', 'O'), ('burger', 'O'), ('with', 'O'), ('fries', 'O'), ('!', 'O'), (""''"", 'O')]","Tipper??,""¦A?¤@??³ù¥]¥[Á¦?¡I¡§","[('T', 'O'), ('i', 'O'), ('p', 'O'), ('p', 'O'), ('e', 'O'), ('r', 'O'), ('?', 'O'), ('?', 'O'), (',', 'O'), ('""', 'O'), ('¦', 'O'), ('A', 'O'), ('?', 'O'), ('¤', 'O'), ('@', 'O'), ('?', 'O'), ('?', 'O'), ('³', 'O'), ('ù', 'O'), ('¥', 'O'), (']', 'O'), ('¥', 'O'), ('[', 'O'), ('Á', 'O'), ('¦', 'O'), ('?', 'O'), ('¡', 'O'), ('I', 'O'), ('¡', 'O'), ('§', 'O')]"
"I got a nice, long, handwritten letter from my friend and partner and colleague Bill Clinton, saying, ""Congratulations on the new restaurant, Al!""","[('I', 'O'), ('got', 'O'), ('a', 'O'), ('nice', 'O'), (',', 'O'), ('long', 'O'), (',', 'O'), ('handwritten', 'O'), ('letter', 'O'), ('from', 'O'), ('my', 'O'), ('friend', 'O'), ('and', 'O'), ('partner', 'O'), ('and', 'O'), ('colleague', 'O'), ('Bill', 'PERSON'), ('Clinton', 'PERSON'), (',', 'O'), ('saying', 'O'), (',', 'O'), ('``', 'O'), ('Congratulations', 'O'), ('on', 'O'), ('the', 'O'), ('new', 'O'), ('restaurant', 'O'), (',', 'O'), ('Al', 'PERSON'), ('!', 'O'), (""''"", 'O')]",¤T¤Ñ¦Z¡A§Ú?§ÚªºªB¤Í­Ý¥ë¦ñ­Ý¦P¨Æ¤ñ?§JªL?­þ¨½¦¬¨ì¤@«Ê ¤â?¡Aºë¬ü­Ý«Ü?ªº¤@«Ê«H¡A?®e¬O¡A¡¨¦ã?¡A¯¬·sÀ\???¡I¡¨,"[('¤', 'O'), ('T', 'O'), ('¤', 'O'), ('Ñ', 'O'), ('¦', 'O'), ('Z', 'O'), ('¡', 'O'), ('A', 'O'), ('§', 'O'), ('Ú', 'O'), ('?', 'O'), ('§', 'O'), ('Ú', 'O'), ('ª', 'O'), ('º', 'O'), ('ª', 'O'), ('B', 'O'), ('¤', 'O'), ('Í', 'O'), ('\xad', 'O'), ('Ý', 'O'), ('¥', 'O'), ('ë', 'O'), ('¦', 'O'), ('ñ', 'O'), ('\xad', 'O'), ('Ý', 'O'), ('¦', 'O'), ('P', 'O'), ('¨', 'O'), ('Æ', 'O'), ('¤', 'O'), ('ñ', 'O'), ('?', 'O'), ('§', 'O'), ('J', 'O'), ('ª', 'O'), ('L', 'O'), ('?', 'O'), ('\xad', 'O'), ('þ', 'O'), ('¨', 'O'), ('½', 'O'), ('¦', 'O'), ('¬', 'O'), ('¨', 'O'), ('ì', 'O'), ('¤', 'O'), ('@', 'O'), ('«', 'O'), ('Ê', 'O'), ('¤', 'O'), ('â', 'O'), ('?', 'O'), ('¡', 'O'), ('A', 'O'), ('º', 'O'), ('ë', 'O'), ('¬', 'O'), ('ü', 'O'), ('\xad', 'O'), ('Ý', 'O'), ('«', 'O'), ('Ü', 'O'), ('?', 'O'), ('ª', 'O'), ('º', 'O'), ('¤', 'O'), ('@', 'O'), ('«', 'O'), ('Ê', 'O'), ('«', 'O'), ('H', 'O'), ('¡', 'O'), ('A', 'O'), ('?', 'O'), ('®', 'O'), ('e', 'O'), ('¬', 'O'), ('O', 'O'), ('¡', 'O'), ('A', 'O'), ('¡', 'O'), ('¨', 'O'), ('¦', 'O'), ('ã', 'O'), ('?', 'O'), ('¡', 'O'), ('A', 'O'), ('¯', 'O'), ('¬', 'O'), ('·', 'O'), ('s', 'O'), ('À', 'O'), ('\\', 'O'), ('?', 'O'), ('?', 'O'), ('?', 'O'), ('¡', 'O'), ('I', 'O'), ('¡', 'O'), ('¨', 'O')]"
We like to celebrate each other's successes in life.,"[('We', 'O'), ('like', 'O'), ('to', 'O'), ('celebrate', 'O'), ('each', 'O'), ('other', 'O'), (""'s"", 'O'), ('successes', 'O'), ('in', 'O'), ('life', 'O'), ('.', 'O')]",§Ú?³ß?¦b?¤è¦¨¥\ªº?­Ô¤¬¬Û¯¬ºÖ,"[('§', 'O'), ('Ú', 'O'), ('?', 'O'), ('³', 'O'), ('ß', 'O'), ('?', 'O'), ('¦', 'O'), ('b', 'O'), ('?', 'O'), ('¤', 'O'), ('è', 'O'), ('¦', 'O'), ('¨', 'O'), ('¥', 'O'), ('\\', 'O'), ('ª', 'O'), ('º', 'O'), ('?', 'O'), ('\xad', 'O'), ('Ô', 'O'), ('¤', 'O'), ('¬', 'O'), ('¬', 'O'), ('Û', 'O'), ('¯', 'O'), ('¬', 'O'), ('º', 'O'), ('Ö', 'O')]"
I was going to talk about information ecology.,"[('I', 'O'), ('was', 'O'), ('going', 'O'), ('to', 'O'), ('talk', 'O'), ('about', 'O'), ('information', 'O'), ('ecology', 'O'), ('.', 'O')]",§Ú­n?¤@?«H®§¥Í??¡C,"[('§', 'O'), ('Ú', 'O'), ('\xad', 'O'), ('n', 'O'), ('?', 'O'), ('¤', 'O'), ('@', 'O'), ('?', 'O'), ('«', 'O'), ('H', 'O'), ('®', 'O'), ('§', 'O'), ('¥', 'O'), ('Í', 'O'), ('?', 'O'), ('?', 'O'), ('¡', 'O'), ('C', 'O')]"
