English Sentence,English NER Tagged,Chinese Sentence,Chinese NER Tagged
"But I was thinking that, since I plan to make a lifelong habit of coming back to TED, that maybe I could talk about that another time.  Chris Anderson: It's a deal!","[('But', 'O'), ('I', 'O'), ('was', 'O'), ('thinking', 'O'), ('that', 'O'), (',', 'O'), ('since', 'O'), ('I', 'O'), ('plan', 'O'), ('to', 'O'), ('make', 'O'), ('a', 'O'), ('lifelong', 'O'), ('habit', 'O'), ('of', 'O'), ('coming', 'O'), ('back', 'O'), ('to', 'O'), ('TED', 'PERSON'), (',', 'O'), ('that', 'O'), ('maybe', 'O'), ('I', 'O'), ('could', 'O'), ('talk', 'O'), ('about', 'O'), ('that', 'O'), ('another', 'O'), ('time', 'O'), ('.', 'O'), ('Chris', 'PERSON'), ('Anderson', 'PERSON'), (':', 'O'), ('It', 'O'), (""'s"", 'O'), ('a', 'O'), ('deal', 'O'), ('!', 'O')]",¦ý¬O§Ú¤S¦b·Q¤]?§Ú¥i¯à?¦E§âTEDºt??§@§Ú?¥Íªº??¡A ¨º?ªº?¤]?§Ú¥i¥H¦b¨ä¥Lªº?­Ô?-«ü«H®§¥Í??¡]¹ª´x¡^ §J¨½´µ ¦w¼w´Ë¡G ¤@¨¥?©w¡I,"[('¦', 'O'), ('ý', 'O'), ('¬', 'O'), ('O', 'O'), ('§', 'O'), ('Ú', 'O'), ('¤', 'O'), ('S', 'O'), ('¦', 'O'), ('b', 'O'), ('·', 'O'), ('Q', 'O'), ('¤', 'O'), (']', 'O'), ('?', 'O'), ('§', 'O'), ('Ú', 'O'), ('¥', 'O'), ('i', 'O'), ('¯', 'O'), ('à', 'O'), ('?', 'O'), ('¦', 'O'), ('E', 'O'), ('§', 'O'), ('â', 'O'), ('T', 'O'), ('E', 'O'), ('D', 'O'), ('º', 'O'), ('t', 'O'), ('?', 'O'), ('?', 'O'), ('§', 'O'), ('@', 'O'), ('§', 'O'), ('Ú', 'O'), ('?', 'O'), ('¥', 'O'), ('Í', 'O'), ('ª', 'O'), ('º', 'O'), ('?', 'O'), ('?', 'O'), ('¡', 'O'), ('A', 'O'), ('¨', 'O'), ('º', 'O'), ('?', 'O'), ('ª', 'O'), ('º', 'O'), ('?', 'O'), ('¤', 'O'), (']', 'O'), ('?', 'O'), ('§', 'O'), ('Ú', 'O'), ('¥', 'O'), ('i', 'O'), ('¥', 'O'), ('H', 'O'), ('¦', 'O'), ('b', 'O'), ('¨', 'O'), ('ä', 'O'), ('¥', 'O'), ('L', 'O'), ('ª', 'O'), ('º', 'O'), ('?', 'O'), ('\xad', 'O'), ('Ô', 'O'), ('?', 'O'), ('-', 'O'), ('«', 'O'), ('ü', 'O'), ('«', 'O'), ('H', 'O'), ('®', 'O'), ('§', 'O'), ('¥', 'O'), ('Í', 'O'), ('?', 'O'), ('?', 'O'), ('¡', 'O'), (']', 'O'), ('¹', 'O'), ('ª', 'O'), ('´', 'O'), ('x', 'O'), ('¡', 'O'), ('^', 'O'), ('§', 'O'), ('J', 'O'), ('¨', 'O'), ('½', 'O'), ('´', 'O'), ('µ', 'O'), ('¦', 'O'), ('w', 'O'), ('¼', 'O'), ('w', 'O'), ('´', 'O'), ('Ë', 'O'), ('¡', 'O'), ('G', 'O'), ('¤', 'O'), ('@', 'O'), ('¨', 'O'), ('¥', 'O'), ('?', 'O'), ('©', 'O'), ('w', 'O'), ('¡', 'O'), ('I', 'O')]"
"Al Gore: I want to focus on what many of you have said What can you do about the climate crisis? I want to start with a couple of -- I'm going to show some new images, and I'm going to recapitulate just four or five.","[('Al', 'PERSON'), ('Gore', 'PERSON'), (':', 'O'), ('I', 'O'), ('want', 'O'), ('to', 'O'), ('focus', 'O'), ('on', 'O'), ('what', 'O'), ('many', 'O'), ('of', 'O'), ('you', 'O'), ('have', 'O'), ('said', 'O'), ('What', 'O'), ('can', 'O'), ('you', 'O'), ('do', 'O'), ('about', 'O'), ('the', 'O'), ('climate', 'O'), ('crisis', 'O'), ('?', 'O'), ('I', 'O'), ('want', 'O'), ('to', 'O'), ('start', 'O'), ('with', 'O'), ('a', 'O'), ('couple', 'O'), ('of', 'O'), ('--', 'O'), ('I', 'O'), (""'m"", 'O'), ('going', 'O'), ('to', 'O'), ('show', 'O'), ('some', 'O'), ('new', 'O'), ('images', 'O'), (',', 'O'), ('and', 'O'), ('I', 'O'), (""'m"", 'O'), ('going', 'O'), ('to', 'O'), ('recapitulate', 'O'), ('just', 'O'), ('four', 'O'), ('or', 'O'), ('five', 'O'), ('.', 'O')]",§Ú?¦b¥D­n·Q?¤@?§A?³Ì?¤ßªº?? ?¤_Éa­Ô¦MÉó§A¥i¥H°µ¤°¤\©O¡H§Ú·Q????©l?-- §Ú­n?§A?®i¥Ü¤@¨Ç·sªº·Ó¤ù¡A?µM?¦³¥|¤­?¤]»Ý­n­n­«·s®i¥Ü,"[('§', 'O'), ('Ú', 'O'), ('?', 'O'), ('¦', 'O'), ('b', 'O'), ('¥', 'O'), ('D', 'O'), ('\xad', 'O'), ('n', 'O'), ('·', 'O'), ('Q', 'O'), ('?', 'O'), ('¤', 'O'), ('@', 'O'), ('?', 'O'), ('§', 'O'), ('A', 'O'), ('?', 'O'), ('³', 'O'), ('Ì', 'O'), ('?', 'O'), ('¤', 'O'), ('ß', 'O'), ('ª', 'O'), ('º', 'O'), ('?', 'O'), ('?', 'O'), ('?', 'O'), ('¤', 'O'), ('_', 'O'), ('É', 'O'), ('a', 'O'), ('\xad', 'O'), ('Ô', 'O'), ('¦', 'O'), ('M', 'O'), ('É', 'O'), ('ó', 'O'), ('§', 'O'), ('A', 'O'), ('¥', 'O'), ('i', 'O'), ('¥', 'O'), ('H', 'O'), ('°', 'O'), ('µ', 'O'), ('¤', 'O'), ('°', 'O'), ('¤', 'O'), ('\\', 'O'), ('©', 'O'), ('O', 'O'), ('¡', 'O'), ('H', 'O'), ('§', 'O'), ('Ú', 'O'), ('·', 'O'), ('Q', 'O'), ('?', 'O'), ('?', 'O'), ('?', 'O'), ('?', 'O'), ('©', 'O'), ('l', 'O'), ('?', 'O'), ('-', 'O'), ('-', 'O'), ('§', 'O'), ('Ú', 'O'), ('\xad', 'O'), ('n', 'O'), ('?', 'O'), ('§', 'O'), ('A', 'O'), ('?', 'O'), ('®', 'O'), ('i', 'O'), ('¥', 'O'), ('Ü', 'O'), ('¤', 'O'), ('@', 'O'), ('¨', 'O'), ('Ç', 'O'), ('·', 'O'), ('s', 'O'), ('ª', 'O'), ('º', 'O'), ('·', 'O'), ('Ó', 'O'), ('¤', 'O'), ('ù', 'O'), ('¡', 'O'), ('A', 'O'), ('?', 'O'), ('µ', 'O'), ('M', 'O'), ('?', 'O'), ('¦', 'O'), ('³', 'O'), ('¥', 'O'), ('|', 'O'), ('¤', 'O'), ('\xad', 'O'), ('?', 'O'), ('¤', 'O'), (']', 'O'), ('»', 'O'), ('Ý', 'O'), ('\xad', 'O'), ('n', 'O'), ('\xad', 'O'), ('n', 'O'), ('\xad', 'O'), ('«', 'O'), ('·', 'O'), ('s', 'O'), ('®', 'O'), ('i', 'O'), ('¥', 'O'), ('Ü', 'O')]"
"Now, the slide show. I update the slide show every time I give it.","[('Now', 'O'), (',', 'O'), ('the', 'O'), ('slide', 'O'), ('show', 'O'), ('.', 'O'), ('I', 'O'), ('update', 'O'), ('the', 'O'), ('slide', 'O'), ('show', 'O'), ('every', 'O'), ('time', 'O'), ('I', 'O'), ('give', 'O'), ('it', 'O'), ('.', 'O')]",?¦b¬Ý¤Û?¤ù¡A§Ú¨C¦¸³£?§ó·s?¨Ç¤Û?¤ùªº¡C,"[('?', 'O'), ('¦', 'O'), ('b', 'O'), ('¬', 'O'), ('Ý', 'O'), ('¤', 'O'), ('Û', 'O'), ('?', 'O'), ('¤', 'O'), ('ù', 'O'), ('¡', 'O'), ('A', 'O'), ('§', 'O'), ('Ú', 'O'), ('¨', 'O'), ('C', 'O'), ('¦', 'O'), ('¸', 'O'), ('³', 'O'), ('£', 'O'), ('?', 'O'), ('§', 'O'), ('ó', 'O'), ('·', 'O'), ('s', 'O'), ('?', 'O'), ('¨', 'O'), ('Ç', 'O'), ('¤', 'O'), ('Û', 'O'), ('?', 'O'), ('¤', 'O'), ('ù', 'O'), ('ª', 'O'), ('º', 'O'), ('¡', 'O'), ('C', 'O')]"
"I add new images, because I learn more about it every time I give it.","[('I', 'O'), ('add', 'O'), ('new', 'O'), ('images', 'O'), (',', 'O'), ('because', 'O'), ('I', 'O'), ('learn', 'O'), ('more', 'O'), ('about', 'O'), ('it', 'O'), ('every', 'O'), ('time', 'O'), ('I', 'O'), ('give', 'O'), ('it', 'O'), ('.', 'O')]",§Ú¨C¦¸§ó·sªº?­Ô³£?¥[·sªº?¤ù?¥h¡A¨ä¤¤¤]?¨ì¤F?¦h·sªº¡C,"[('§', 'O'), ('Ú', 'O'), ('¨', 'O'), ('C', 'O'), ('¦', 'O'), ('¸', 'O'), ('§', 'O'), ('ó', 'O'), ('·', 'O'), ('s', 'O'), ('ª', 'O'), ('º', 'O'), ('?', 'O'), ('\xad', 'O'), ('Ô', 'O'), ('³', 'O'), ('£', 'O'), ('?', 'O'), ('¥', 'O'), ('[', 'O'), ('·', 'O'), ('s', 'O'), ('ª', 'O'), ('º', 'O'), ('?', 'O'), ('¤', 'O'), ('ù', 'O'), ('?', 'O'), ('¥', 'O'), ('h', 'O'), ('¡', 'O'), ('A', 'O'), ('¨', 'O'), ('ä', 'O'), ('¤', 'O'), ('¤', 'O'), ('¤', 'O'), (']', 'O'), ('?', 'O'), ('¨', 'O'), ('ì', 'O'), ('¤', 'O'), ('F', 'O'), ('?', 'O'), ('¦', 'O'), ('h', 'O'), ('·', 'O'), ('s', 'O'), ('ª', 'O'), ('º', 'O'), ('¡', 'O'), ('C', 'O')]"
"It's like beach-combing, you know?","[('It', 'O'), (""'s"", 'O'), ('like', 'O'), ('beach-combing', 'O'), (',', 'O'), ('you', 'O'), ('know', 'O'), ('?', 'O')]",´N¹³¨º¨Ç¦b¼é¦Á?¹jªº®ü?¤¤§ä?ª«¤@¯ë¡A,"[('´', 'O'), ('N', 'O'), ('¹', 'O'), ('³', 'O'), ('¨', 'O'), ('º', 'O'), ('¨', 'O'), ('Ç', 'O'), ('¦', 'O'), ('b', 'O'), ('¼', 'O'), ('é', 'O'), ('¦', 'O'), ('Á', 'O'), ('?', 'O'), ('¹', 'O'), ('j', 'O'), ('ª', 'O'), ('º', 'O'), ('®', 'O'), ('ü', 'O'), ('?', 'O'), ('¤', 'O'), ('¤', 'O'), ('§', 'O'), ('ä', 'O'), ('?', 'O'), ('ª', 'O'), ('«', 'O'), ('¤', 'O'), ('@', 'O'), ('¯', 'O'), ('ë', 'O'), ('¡', 'O'), ('A', 'O')]"
"Every time the tide comes in and out, you find some more shells.","[('Every', 'O'), ('time', 'O'), ('the', 'O'), ('tide', 'O'), ('comes', 'O'), ('in', 'O'), ('and', 'O'), ('out', 'O'), (',', 'O'), ('you', 'O'), ('find', 'O'), ('some', 'O'), ('more', 'O'), ('shells', 'O'), ('.', 'O')]",§A?§ä¨ì§ó¦hªº??¡C,"[('§', 'O'), ('A', 'O'), ('?', 'O'), ('§', 'O'), ('ä', 'O'), ('¨', 'O'), ('ì', 'O'), ('§', 'O'), ('ó', 'O'), ('¦', 'O'), ('h', 'O'), ('ª', 'O'), ('º', 'O'), ('?', 'O'), ('?', 'O'), ('¡', 'O'), ('C', 'O')]"
"Just in the last two days, we got the new temperature records in January.","[('Just', 'O'), ('in', 'O'), ('the', 'O'), ('last', 'O'), ('two', 'O'), ('days', 'O'), (',', 'O'), ('we', 'O'), ('got', 'O'), ('the', 'O'), ('new', 'O'), ('temperature', 'O'), ('records', 'O'), ('in', 'O'), ('January', 'O'), ('.', 'O')]",??¦b¬Q¤Ñ¡A§Ú?´N±o¨ì¤F·sªº¤@¤ë¥÷ªº?«×??¡C,"[('?', 'O'), ('?', 'O'), ('¦', 'O'), ('b', 'O'), ('¬', 'O'), ('Q', 'O'), ('¤', 'O'), ('Ñ', 'O'), ('¡', 'O'), ('A', 'O'), ('§', 'O'), ('Ú', 'O'), ('?', 'O'), ('´', 'O'), ('N', 'O'), ('±', 'O'), ('o', 'O'), ('¨', 'O'), ('ì', 'O'), ('¤', 'O'), ('F', 'O'), ('·', 'O'), ('s', 'O'), ('ª', 'O'), ('º', 'O'), ('¤', 'O'), ('@', 'O'), ('¤', 'O'), ('ë', 'O'), ('¥', 'O'), ('÷', 'O'), ('ª', 'O'), ('º', 'O'), ('?', 'O'), ('«', 'O'), ('×', 'O'), ('?', 'O'), ('?', 'O'), ('¡', 'O'), ('C', 'O')]"
This is just for the United States of America. Historical average for Januarys is 31 degrees; last month was 39.5 degrees.,"[('This', 'O'), ('is', 'O'), ('just', 'O'), ('for', 'O'), ('the', 'O'), ('United', 'LOCATION'), ('States', 'LOCATION'), ('of', 'LOCATION'), ('America', 'LOCATION'), ('.', 'O'), ('Historical', 'O'), ('average', 'O'), ('for', 'O'), ('Januarys', 'O'), ('is', 'O'), ('31', 'O'), ('degrees', 'O'), (';', 'O'), ('last', 'O'), ('month', 'O'), ('was', 'O'), ('39.5', 'O'), ('degrees', 'O'), ('.', 'O')]",???¬O¬ü?ªº¡A¤@¤ë¥÷ªº?¥v¥­§½??¬O31«×¡C ¤W?¤@¤ë¥÷¬O39.5«×¡C,"[('?', 'O'), ('?', 'O'), ('?', 'O'), ('¬', 'O'), ('O', 'O'), ('¬', 'O'), ('ü', 'O'), ('?', 'O'), ('ª', 'O'), ('º', 'O'), ('¡', 'O'), ('A', 'O'), ('¤', 'O'), ('@', 'O'), ('¤', 'O'), ('ë', 'O'), ('¥', 'O'), ('÷', 'O'), ('ª', 'O'), ('º', 'O'), ('?', 'O'), ('¥', 'O'), ('v', 'O'), ('¥', 'O'), ('\xad', 'O'), ('§', 'O'), ('½', 'O'), ('?', 'O'), ('?', 'O'), ('¬', 'O'), ('O', 'O'), ('3', 'O'), ('1', 'O'), ('«', 'O'), ('×', 'O'), ('¡', 'O'), ('C', 'O'), ('¤', 'O'), ('W', 'O'), ('?', 'O'), ('¤', 'O'), ('@', 'O'), ('¤', 'O'), ('ë', 'O'), ('¥', 'O'), ('÷', 'O'), ('¬', 'O'), ('O', 'O'), ('3', 'O'), ('9', 'O'), ('.', 'O'), ('5', 'O'), ('«', 'O'), ('×', 'O'), ('¡', 'O'), ('C', 'O')]"
"Now, I know that you wanted some more bad news about the environment -- I'm kidding. But these are the recapitulation slides, and then I'm going to go into new material about what you can do.","[('Now', 'O'), (',', 'O'), ('I', 'O'), ('know', 'O'), ('that', 'O'), ('you', 'O'), ('wanted', 'O'), ('some', 'O'), ('more', 'O'), ('bad', 'O'), ('news', 'O'), ('about', 'O'), ('the', 'O'), ('environment', 'O'), ('--', 'O'), ('I', 'O'), (""'m"", 'O'), ('kidding', 'O'), ('.', 'O'), ('But', 'O'), ('these', 'O'), ('are', 'O'), ('the', 'O'), ('recapitulation', 'O'), ('slides', 'O'), (',', 'O'), ('and', 'O'), ('then', 'O'), ('I', 'O'), (""'m"", 'O'), ('going', 'O'), ('to', 'O'), ('go', 'O'), ('into', 'O'), ('new', 'O'), ('material', 'O'), ('about', 'O'), ('what', 'O'), ('you', 'O'), ('can', 'O'), ('do', 'O'), ('.', 'O')]",?¦b¡A§Úª¾¹D§A·Q­n§ó¦hªº?¤_?¹Òªº§¥·s? --¥u¬O?ª±¯º-- ¦ý?¨Ç¥u¬O­«­z¤Û?¤ù¡A µM¦Z§Ú?????¤_§A¯à°µ¤°¤\ªº·s?®e¡C,"[('?', 'O'), ('¦', 'O'), ('b', 'O'), ('¡', 'O'), ('A', 'O'), ('§', 'O'), ('Ú', 'O'), ('ª', 'O'), ('¾', 'O'), ('¹', 'O'), ('D', 'O'), ('§', 'O'), ('A', 'O'), ('·', 'O'), ('Q', 'O'), ('\xad', 'O'), ('n', 'O'), ('§', 'O'), ('ó', 'O'), ('¦', 'O'), ('h', 'O'), ('ª', 'O'), ('º', 'O'), ('?', 'O'), ('¤', 'O'), ('_', 'O'), ('?', 'O'), ('¹', 'O'), ('Ò', 'O'), ('ª', 'O'), ('º', 'O'), ('§', 'O'), ('¥', 'O'), ('·', 'O'), ('s', 'O'), ('?', 'O'), ('-', 'O'), ('-', 'O'), ('¥', 'O'), ('u', 'O'), ('¬', 'O'), ('O', 'O'), ('?', 'O'), ('ª', 'O'), ('±', 'O'), ('¯', 'O'), ('º', 'O'), ('-', 'O'), ('-', 'O'), ('¦', 'O'), ('ý', 'O'), ('?', 'O'), ('¨', 'O'), ('Ç', 'O'), ('¥', 'O'), ('u', 'O'), ('¬', 'O'), ('O', 'O'), ('\xad', 'O'), ('«', 'O'), ('\xad', 'O'), ('z', 'O'), ('¤', 'O'), ('Û', 'O'), ('?', 'O'), ('¤', 'O'), ('ù', 'O'), ('¡', 'O'), ('A', 'O'), ('µ', 'O'), ('M', 'O'), ('¦', 'O'), ('Z', 'O'), ('§', 'O'), ('Ú', 'O'), ('?', 'O'), ('?', 'O'), ('?', 'O'), ('?', 'O'), ('?', 'O'), ('¤', 'O'), ('_', 'O'), ('§', 'O'), ('A', 'O'), ('¯', 'O'), ('à', 'O'), ('°', 'O'), ('µ', 'O'), ('¤', 'O'), ('°', 'O'), ('¤', 'O'), ('\\', 'O'), ('ª', 'O'), ('º', 'O'), ('·', 'O'), ('s', 'O'), ('?', 'O'), ('®', 'O'), ('e', 'O'), ('¡', 'O'), ('C', 'O')]"
But I wanted to elaborate on a couple of these.,"[('But', 'O'), ('I', 'O'), ('wanted', 'O'), ('to', 'O'), ('elaborate', 'O'), ('on', 'O'), ('a', 'O'), ('couple', 'O'), ('of', 'O'), ('these', 'O'), ('.', 'O')]",¦ý§Ú·Q¥ý?©ú¤U?¨Ç?¦è¡C,"[('¦', 'O'), ('ý', 'O'), ('§', 'O'), ('Ú', 'O'), ('·', 'O'), ('Q', 'O'), ('¥', 'O'), ('ý', 'O'), ('?', 'O'), ('©', 'O'), ('ú', 'O'), ('¤', 'O'), ('U', 'O'), ('?', 'O'), ('¨', 'O'), ('Ç', 'O'), ('?', 'O'), ('¦', 'O'), ('è', 'O'), ('¡', 'O'), ('C', 'O')]"
"First of all, this is where we're projected to go with the U.S. contribution to global warming, under business as usual. Efficiency in end-use electricity and end-use of all energy is the low-hanging fruit. Efficiency and conservation -- it's not a cost; it's a profit.","[('First', 'O'), ('of', 'O'), ('all', 'O'), (',', 'O'), ('this', 'O'), ('is', 'O'), ('where', 'O'), ('we', 'O'), (""'re"", 'O'), ('projected', 'O'), ('to', 'O'), ('go', 'O'), ('with', 'O'), ('the', 'O'), ('U.S.', 'LOCATION'), ('contribution', 'O'), ('to', 'O'), ('global', 'O'), ('warming', 'O'), (',', 'O'), ('under', 'O'), ('business', 'O'), ('as', 'O'), ('usual', 'O'), ('.', 'O'), ('Efficiency', 'O'), ('in', 'O'), ('end-use', 'O'), ('electricity', 'O'), ('and', 'O'), ('end-use', 'O'), ('of', 'O'), ('all', 'O'), ('energy', 'O'), ('is', 'O'), ('the', 'O'), ('low-hanging', 'O'), ('fruit', 'O'), ('.', 'O'), ('Efficiency', 'O'), ('and', 'O'), ('conservation', 'O'), ('--', 'O'), ('it', 'O'), (""'s"", 'O'), ('not', 'O'), ('a', 'O'), ('cost', 'O'), (';', 'O'), ('it', 'O'), (""'s"", 'O'), ('a', 'O'), ('profit', 'O'), ('.', 'O')]",­º¥ý¡A?¬O§Ú?¦ô?¨ìªº?¤_¬ü??¥þ²y?«Ç®Ä?ªº??¡A ¦b´¶³q±¡?¤U?¤_?¤O©M¯à·½ªº³Ì?¨Ï¥Îªº®Ä²v ´N¹³ç÷?´N¯à??ªºªG?¡A«D±`§Cªº¡C ®Ä²v©M?¦ÛµM?¹Òªº«O?¡G,"[('\xad', 'O'), ('º', 'O'), ('¥', 'O'), ('ý', 'O'), ('¡', 'O'), ('A', 'O'), ('?', 'O'), ('¬', 'O'), ('O', 'O'), ('§', 'O'), ('Ú', 'O'), ('?', 'O'), ('¦', 'O'), ('ô', 'O'), ('?', 'O'), ('¨', 'O'), ('ì', 'O'), ('ª', 'O'), ('º', 'O'), ('?', 'O'), ('¤', 'O'), ('_', 'O'), ('¬', 'O'), ('ü', 'O'), ('?', 'O'), ('?', 'O'), ('¥', 'O'), ('þ', 'O'), ('²', 'O'), ('y', 'O'), ('?', 'O'), ('«', 'O'), ('Ç', 'O'), ('®', 'O'), ('Ä', 'O'), ('?', 'O'), ('ª', 'O'), ('º', 'O'), ('?', 'O'), ('?', 'O'), ('¡', 'O'), ('A', 'O'), ('¦', 'O'), ('b', 'O'), ('´', 'O'), ('¶', 'O'), ('³', 'O'), ('q', 'O'), ('±', 'O'), ('¡', 'O'), ('?', 'O'), ('¤', 'O'), ('U', 'O'), ('?', 'O'), ('¤', 'O'), ('_', 'O'), ('?', 'O'), ('¤', 'O'), ('O', 'O'), ('©', 'O'), ('M', 'O'), ('¯', 'O'), ('à', 'O'), ('·', 'O'), ('½', 'O'), ('ª', 'O'), ('º', 'O'), ('³', 'O'), ('Ì', 'O'), ('?', 'O'), ('¨', 'O'), ('Ï', 'O'), ('¥', 'O'), ('Î', 'O'), ('ª', 'O'), ('º', 'O'), ('®', 'O'), ('Ä', 'O'), ('²', 'O'), ('v', 'O'), ('´', 'O'), ('N', 'O'), ('¹', 'O'), ('³', 'O'), ('ç', 'O'), ('÷', 'O'), ('?', 'O'), ('´', 'O'), ('N', 'O'), ('¯', 'O'), ('à', 'O'), ('?', 'O'), ('?', 'O'), ('ª', 'O'), ('º', 'O'), ('ª', 'O'), ('G', 'O'), ('?', 'O'), ('¡', 'O'), ('A', 'O'), ('«', 'O'), ('D', 'O'), ('±', 'O'), ('`', 'O'), ('§', 'O'), ('C', 'O'), ('ª', 'O'), ('º', 'O'), ('¡', 'O'), ('C', 'O'), ('®', 'O'), ('Ä', 'O'), ('²', 'O'), ('v', 'O'), ('©', 'O'), ('M', 'O'), ('?', 'O'), ('¦', 'O'), ('Û', 'O'), ('µ', 'O'), ('M', 'O'), ('?', 'O'), ('¹', 'O'), ('Ò', 'O'), ('ª', 'O'), ('º', 'O'), ('«', 'O'), ('O', 'O'), ('?', 'O'), ('¡', 'O'), ('G', 'O')]"
The sign is wrong.,"[('The', 'O'), ('sign', 'O'), ('is', 'O'), ('wrong', 'O'), ('.', 'O')]",¤£¬O¦¨¥»¡A¦Ó¬O§Q?¡C «H?¬O??ªº¡C,"[('¤', 'O'), ('£', 'O'), ('¬', 'O'), ('O', 'O'), ('¦', 'O'), ('¨', 'O'), ('¥', 'O'), ('»', 'O'), ('¡', 'O'), ('A', 'O'), ('¦', 'O'), ('Ó', 'O'), ('¬', 'O'), ('O', 'O'), ('§', 'O'), ('Q', 'O'), ('?', 'O'), ('¡', 'O'), ('C', 'O'), ('«', 'O'), ('H', 'O'), ('?', 'O'), ('¬', 'O'), ('O', 'O'), ('?', 'O'), ('?', 'O'), ('ª', 'O'), ('º', 'O'), ('¡', 'O'), ('C', 'O')]"
It's not negative; it's positive. These are investments that pay for themselves.,"[('It', 'O'), (""'s"", 'O'), ('not', 'O'), ('negative', 'O'), (';', 'O'), ('it', 'O'), (""'s"", 'O'), ('positive', 'O'), ('.', 'O'), ('These', 'O'), ('are', 'O'), ('investments', 'O'), ('that', 'O'), ('pay', 'O'), ('for', 'O'), ('themselves', 'O'), ('.', 'O')]",¤£¬O?­±®Ä?¡A¦Ó¬O¥¿­±ªº¡C?¨Ç³£¬O?¦Û¤v¤ä¥Iªº§ë?¡C,"[('¤', 'O'), ('£', 'O'), ('¬', 'O'), ('O', 'O'), ('?', 'O'), ('\xad', 'O'), ('±', 'O'), ('®', 'O'), ('Ä', 'O'), ('?', 'O'), ('¡', 'O'), ('A', 'O'), ('¦', 'O'), ('Ó', 'O'), ('¬', 'O'), ('O', 'O'), ('¥', 'O'), ('¿', 'O'), ('\xad', 'O'), ('±', 'O'), ('ª', 'O'), ('º', 'O'), ('¡', 'O'), ('C', 'O'), ('?', 'O'), ('¨', 'O'), ('Ç', 'O'), ('³', 'O'), ('£', 'O'), ('¬', 'O'), ('O', 'O'), ('?', 'O'), ('¦', 'O'), ('Û', 'O'), ('¤', 'O'), ('v', 'O'), ('¤', 'O'), ('ä', 'O'), ('¥', 'O'), ('I', 'O'), ('ª', 'O'), ('º', 'O'), ('§', 'O'), ('ë', 'O'), ('?', 'O'), ('¡', 'O'), ('C', 'O')]"
But they are also very effective in deflecting our path.,"[('But', 'O'), ('they', 'O'), ('are', 'O'), ('also', 'O'), ('very', 'O'), ('effective', 'O'), ('in', 'O'), ('deflecting', 'O'), ('our', 'O'), ('path', 'O'), ('.', 'O')]",¦ý¬O¥¦?¦b?²¾§Ú?«ä·Qªº?­Ô¤]¬O«D±`¦³®Äªº¡C,"[('¦', 'O'), ('ý', 'O'), ('¬', 'O'), ('O', 'O'), ('¥', 'O'), ('¦', 'O'), ('?', 'O'), ('¦', 'O'), ('b', 'O'), ('?', 'O'), ('²', 'O'), ('¾', 'O'), ('§', 'O'), ('Ú', 'O'), ('?', 'O'), ('«', 'O'), ('ä', 'O'), ('·', 'O'), ('Q', 'O'), ('ª', 'O'), ('º', 'O'), ('?', 'O'), ('\xad', 'O'), ('Ô', 'O'), ('¤', 'O'), (']', 'O'), ('¬', 'O'), ('O', 'O'), ('«', 'O'), ('D', 'O'), ('±', 'O'), ('`', 'O'), ('¦', 'O'), ('³', 'O'), ('®', 'O'), ('Ä', 'O'), ('ª', 'O'), ('º', 'O'), ('¡', 'O'), ('C', 'O')]"
