english_text,chinese_text,entities
Make our democracy work the way it's supposed to work.,使我们的民主照着原本应该的方式来运作。,[]
Support the idea of capping carbon dioxide emissions -- global warming pollution -- and trading it.,支持关于二氧化碳排放和全球温室效应污染的理念，,[]
"Here's why: as long as the United States is out of the world system, it's not a closed system.",并且补偿这一切，这是因为，由于美国在这个世界体系之外， 但是这又不是个封闭的体系。,"[{'original_entity': 'the United States', 'translated_entity': '美国', 'entity_type': 'GPE'}]"
"Once it becomes a closed system, with U.S. participation, then everybody who's on a board of directors -- how many people here serve on the board of directors of a corporation?",但是一旦它变成了封闭的体系，不管美国是否参与， 那样的话每个人都成为董事会成员了 --这里有多少人是公司里面的董事会成员呢？,"[{'original_entity': 'U.S.', 'translated_entity': '美国', 'entity_type': 'GPE'}]"
"Once it's a closed system, you will have legal liability if you do not urge your CEO to get the maximum income from reducing and trading the carbon emissions that can be avoided.",一旦它成为一个封闭的体系，你将背负法律上的责任如果你不督促你的CEO 从减少和补偿可以避免的碳排放方面获得最大的收入。,[]
The market will work to solve this problem -- if we can accomplish this.,如果我们能够实现它的话那么市场先生将会自己去解决这个问题。,[]
Help with the mass persuasion campaign that will start this spring.,从今年春天开始的大众劝说运动的帮助。,"[{'original_entity': 'this spring', 'translated_entity': '这个春天', 'entity_type': 'DATE'}]"
We have to change the minds of the American people.,我们必须去改变美国人民的观念。,"[{'original_entity': 'American', 'translated_entity': '美国人', 'entity_type': 'NORP'}]"
"Because presently, the politicians do not have permission to do what needs to be done.",因为现在的政治不允许去做一些需要做的事。,[]
"And in our modern country, the role of logic and reason no longer includes mediating between wealth and power the way it once did.",在一个现代化国家，逻辑和理性的作用已不再只包括 以前所做的关于财富和权力的调解。,[]
"It's now repetition of short, hot-button, 30-second, 28-second television ads.",现在已经是短的，热门的，30秒，28秒的电视广告的重复播放。,"[{'original_entity': '30-second', 'translated_entity': '30秒', 'entity_type': 'TIME'}, {'original_entity': '28-second', 'translated_entity': '28秒', 'entity_type': 'TIME'}]"
We have to buy a lot of those ads.,我们必须要买许多这样的广告。,[]
"Let's re-brand global warming, as many of you have suggested.",让我们把全球变暖这个品牌重新包装一下，就如许多人建议的那样。,[]
"I like ""climate crisis"" instead of ""climate collapse,"" but again, those of you who are good at branding, I need your help on this.",相对于气候崩溃我更喜欢气候危机这个叫法， 老调重谈一下，如果你们谁对品牌运作方面相当在行的话，我需要你们的帮助。,[]
"Somebody said the test we're facing now, a scientist told me, is whether the combination of an opposable thumb and a neocortex is a viable combination.",有个科学家告诉我，有人说我们现在面对的检验是， 对生拇指和新皮层的组合是否是 一种可以实行的组合。,[]
"That's really true. I said the other night, and I'll repeat now: this is not a political issue.",这是真的。上次我也说过了，但是我现在再重复一次：这不是政治问题。,[]
"Again, the Republicans here -- this shouldn't be partisan.",今天来的共和党人们，这不应该是党派性的。,"[{'original_entity': 'Republicans', 'translated_entity': '共和党人', 'entity_type': 'NORP'}]"
You have more influence than some of us who are Democrats do.,你甚至比在我们这里的有些共和党人更加具有影响力。,"[{'original_entity': 'Democrats', 'translated_entity': '民主党人', 'entity_type': 'NORP'}]"
"This is an opportunity. Not just this, but connected to the ideas that are here, to bring more coherence to them.",这不止是个很好的机会，更可以把今天我们在这里的想法连接到 并一致的带给其他人。,[]
We are one.,我们是整体。,[]
"Thank you very much, I appreciate it.",谢谢感谢，我非常的感激。,[]
"In terms of invention, I'd like to tell you the tale of one of my favorite projects.",说到发明 我想跟你们说说我最得意的一个项目,"[{'original_entity': 'one', 'translated_entity': '一个', 'entity_type': 'CARDINAL'}]"
"I think it's one of the most exciting that I'm working on, but I think it's also the simplest.",我觉得它是我现在做的最令我兴奋的项目 同时也是最简单的一个,"[{'original_entity': 'one', 'translated_entity': '一个', 'entity_type': 'CARDINAL'}]"
It's a project that has the potential to make a huge impact around the world.,这个项目很可能极大地影响世界,[]
"It addresses one of the biggest health issues on the planet, the number one cause of death in children under five.",它能解决目前世界上最严重的健康问题之一 这个问题是5岁以下儿童死亡的头号杀手,"[{'original_entity': 'one', 'translated_entity': '一个', 'entity_type': 'CARDINAL'}, {'original_entity': 'one', 'translated_entity': '一个', 'entity_type': 'CARDINAL'}, {'original_entity': 'under five', 'translated_entity': '五岁以下', 'entity_type': 'DATE'}]"
Which is ...? Water-borne diseases? Diarrhea? Malnutrition?,是什么呢？ 水媒传染疾病？痢疾？营养不良？,"[{'original_entity': 'Diarrhea', 'translated_entity': '腹泻', 'entity_type': 'PERSON'}]"
No. It's breathing the smoke from indoor cooking fires -- acute respiratory infections caused by this. Can you believe that?,都不对，是吸入厨房油烟 导致急性呼吸道感染，你相信吗？,[]
I find this shocking and somewhat appalling.,我感到很震惊也很可怕,[]
Can't we make cleaner burning cooking fuels?,我们能否发明更清洁的炊事燃料？,[]
Can't we make better stoves?,更好的炉灶？,[]
How is it that this can lead to over two million deaths every year?,这个问题为何每年能杀死200多万人呢？,"[{'original_entity': 'over two million', 'translated_entity': '超过两百万人', 'entity_type': 'CARDINAL'}, {'original_entity': 'every year', 'translated_entity': '每年', 'entity_type': 'DATE'}]"
"I know Bill Joy was talking to you about the wonders of carbon nanotubes, so I'm going to talk to you about the wonders of carbon macro-tubes, which is charcoal.  So this is a picture of rural Haiti. Haiti is now 98 percent deforested.",我知道Bill Joy和大家讲过 碳纳管的奇妙之处 那今天我就和大家讲讲 大碳管也就是木炭的妙用 这是一张海地乡村的照片，海地国土面积的98%如今都没有森林覆盖了,"[{'original_entity': 'Bill Joy', 'translated_entity': '比尔·乔伊', 'entity_type': 'PERSON'}, {'original_entity': 'Haiti', 'translated_entity': '海地', 'entity_type': 'GPE'}, {'original_entity': 'Haiti', 'translated_entity': '海地', 'entity_type': 'GPE'}, {'original_entity': '98 percent', 'translated_entity': '98%', 'entity_type': 'PERCENT'}]"
You'll see scenes like this all over the island.,整个海地岛屿都是这幅景象,[]
It leads to all sorts of environmental problems and problems that affect people throughout the nation.,这造成了各种环境问题 以及一些影响海地人民的其他问题,[]
A couple years ago there was severe flooding that led to thousands of deaths -- that's directly attributable to the fact that there are no trees on the hills to stabilize the soil.,几年前一场洪水肆虐 夺走了几千人的生命 这都是因为 山上没有树来巩固土壤,"[{'original_entity': 'A couple years ago', 'translated_entity': '几年前', 'entity_type': 'DATE'}, {'original_entity': 'thousands', 'translated_entity': '数千', 'entity_type': 'CARDINAL'}]"
So the rains come -- they go down the rivers and the flooding happens.,所以一旦下雨，雨水混杂泥土直接冲入河流，造成洪灾,[]
"Now one of the reasons why there are so few trees is this: people need to cook, and they harvest wood and they make charcoal in order to do it.",这里没树主要是因为 人们烧饭需要燃料 于是人们把木材做成木炭,[]
It's not that people are ignorant to the environmental damage.,并不是海地人不重视环境保护,[]
"They know perfectly well, but they have no other choice.",他们明白环境重要，但是他们无可奈何,[]
"Fossil fuels are not available, and solar energy doesn't cook the way that they like their food prepared.",这里没有化石燃料 太阳能也不是很好用,"[{'original_entity': 'Fossil', 'translated_entity': '化石', 'entity_type': 'PERSON'}]"
And so this is what they do.,所以这也算是无奈之举,[]
"You'll find families like this who go out into the forest to find a tree, cut it down and make charcoal out of it.",你常能看到这样一家人一起去森林里 砍了树，再做成木炭,[]
"So not surprisingly, there's a lot of effort that's been done to look at alternative cooking fuels.",毫无疑问，人们已经很努力 找寻这种燃料的替代品了,[]
"About four years ago, I took a team of students down to Haiti and we worked with Peace Corps volunteers there.",4年前，我和一群学生去海地 和当地的和平队志愿者一起工作,"[{'original_entity': 'About four years ago', 'translated_entity': '大约四年前', 'entity_type': 'DATE'}, {'original_entity': 'Haiti', 'translated_entity': '海地', 'entity_type': 'GPE'}, {'original_entity': 'Peace Corps', 'translated_entity': '和平部队', 'entity_type': 'ORG'}]"
This is one such volunteer and this is a device that he had built in the village where he worked.,有一个志愿者 在他呆的村庄里发明了这个小玩意儿,"[{'original_entity': 'one', 'translated_entity': '一个', 'entity_type': 'CARDINAL'}]"
And the idea was that you could take waste paper; you could compress it and make briquettes that could be used for fuel.,就是把废纸 压缩成块状用来燃烧,[]
But this device was very slow.,但是它烧得很慢,[]
"So our engineering students went to work on it and with some very simple changes, they were able to triple the throughput of this device.",我们工程系的学生就拿来改良了一下 做了一点小改动之后 它的效率提高了3倍,[]
So you could imagine they were very excited about it.,他们当时非常激动,[]
And they took the briquettes back to MIT so that they could test them.,后来他们还把这些纸砖块带回麻省大学做测试,"[{'original_entity': 'MIT', 'translated_entity': '麻省理工学院', 'entity_type': 'ORG'}]"
And one of the things that they found was they didn't burn.,结果却发现这些东西不能燃烧,"[{'original_entity': 'one', 'translated_entity': '一个', 'entity_type': 'CARDINAL'}]"
So it was a little discouraging to the students.,学生们都挺失望的,[]
"And in fact, if you look closely, right here you can see it says, ""US Peace Corps.""",如果你仔细看，在这儿， 你就会发现“美国和平队”字样,"[{'original_entity': 'US Peace Corps', 'translated_entity': '美国和平部队', 'entity_type': 'WORK_OF_ART'}]"
"As it turns out, there actually wasn't any waste paper in this village.",因为在那个村庄里根本没废纸,[]
"And while it was a good use of government paperwork for this volunteer to bring it back with him to his village, it was 800 kilometers away.",或许这仪器用来处理政府文书倒是挺好的 让那个志愿者把政府文书带回到那个村子 不过政府机关离那个村子有足足800公里之遥,"[{'original_entity': '800 kilometers', 'translated_entity': '800公里', 'entity_type': 'QUANTITY'}]"
And so we thought perhaps there might be a better way to come up with an alternative cooking fuel.,所以我们就想琢磨个更好的办法 来制造炊事燃料的替代品,[]
What we wanted to do is we wanted to make a fuel that used something that was readily available on the local level.,我们希望这种新燃料 能就地取材,[]
You see these all over Haiti as well. They're small-scale sugar mills.,海地到处都有小规模的制糖厂,"[{'original_entity': 'Haiti', 'translated_entity': '海地', 'entity_type': 'GPE'}]"
"And the waste product from them after you extract the juice from the sugarcane is called ""bagasse.""",这些厂的废料 也就是榨完甘蔗之后剩下的东西叫“甘蔗渣”,[]
"It has no nutritional value, so they don't feed it to the animals.",这个没啥用，也没营养价值 当饲料都不够好,[]
It just sits in a pile near the sugar mill until eventually they burn it.,人们就把成堆的甘蔗渣堆在制糖厂外，最后拿来烧掉,[]
"What we wanted to do was we wanted to find a way to harness this waste resource and turn it into a fuel that would be something that people could easily cook with, something like charcoal.",而我们就想 变废为宝 把那些甘蔗渣做成人人都能方便使用的燃料 就像木炭一样,[]
"So over the next couple of years, students and I worked to develop a process.",接下来的几年时间里，我和我的学生就在开发合适的生产工艺,"[{'original_entity': 'the next couple of years', 'translated_entity': '接下来的几年', 'entity_type': 'DATE'}]"
"So you start with the bagasse, and then you take a very simple kiln that you can make out of a waste fifty five-gallon oil drum.",首先我们把甘蔗渣放入一个窑炉 这种炉子很好做，拿一个废弃的55加仑容积的油桶就可以改装了,"[{'original_entity': 'fifty five-gallon', 'translated_entity': '五加仑五十升', 'entity_type': 'CARDINAL'}]"
"After some time, after setting it on fire, you seal it to restrict the oxygen that goes into the kiln, and then you end up with this carbonized material here.",然后我们点燃甘蔗渣，让它烧一小会儿以后就把炉封好 不要让空气进去 最后就制成了这种炭化材料,[]
"However, you can't burn this.",但是，这个不好用，因为颗粒太细了,[]
It's too fine and it burns too quickly to be useful for cooking.,用来烧饭的话一下就烧完了,[]
So we had to try to find a way to form it into useful briquettes.,所以我们就设法把它压缩成块,[]
"And conveniently, one of my students was from Ghana, and he remembered a dish his mom used to make for him called ""kokonte,"" which is a very sticky porridge made out of the cassava root.",正好，我的一个学生是加纳人 记得他母亲给他做过一道菜叫“木薯糊” 就是用木薯的根烧成的很稠的粥,"[{'original_entity': 'one', 'translated_entity': '一个', 'entity_type': 'CARDINAL'}, {'original_entity': 'Ghana', 'translated_entity': '加纳', 'entity_type': 'GPE'}, {'original_entity': 'kokonte', 'translated_entity': '科肯特', 'entity_type': 'PERSON'}]"
"And so what we did was we looked, and we found that cassava is indeed grown in Haiti, under the name of ""manioc.""",于是我们就四下寻找 发现海地也种植木薯，只不过叫法不同,"[{'original_entity': 'cassava', 'translated_entity': '卡萨瓦', 'entity_type': 'ORG'}, {'original_entity': 'Haiti', 'translated_entity': '海地', 'entity_type': 'GPE'}]"
"In fact, it's grown all over the world -- yucca, tapioca, manioc, cassava, it's all the same thing -- a very starchy root vegetable.",其实世界上很多地方都有木薯 虽然名称各异，东西都是一样的 就是含淀粉的食用其块状根的植物,"[{'original_entity': 'cassava', 'translated_entity': '卡萨瓦', 'entity_type': 'ORG'}]"
"And you can make a very thick, sticky porridge out of it, which you can use to bind together the charcoal briquettes.",你可以把它做成糊 再用这个糊把木炭块粘在一起,[]
So we did this. We went down to Haiti.,我们就这么做了。 后来我们又去海地,"[{'original_entity': 'Haiti', 'translated_entity': '海地', 'entity_type': 'GPE'}]"
"These are the graduates of the first Ecole de Charbon, or Charcoal Institute.",这些研究生就是第一所 木炭学院的学生,"[{'original_entity': 'first', 'translated_entity': '首先', 'entity_type': 'ORDINAL'}, {'original_entity': 'Ecole de Charbon', 'translated_entity': '埃科勒·德·', 'entity_type': 'ORG'}, {'original_entity': 'Charcoal Institute', 'translated_entity': '石炭研究所', 'entity_type': 'ORG'}]"
That's right. So I'm actually an instructor at MIT as well as CIT.,没错，所以我既是麻省理工的导师也是木碳学院的导师,"[{'original_entity': 'MIT', 'translated_entity': '麻省理工学院', 'entity_type': 'ORG'}, {'original_entity': 'CIT', 'translated_entity': 'CIT', 'entity_type': 'ORG'}]"
And these are the briquettes that we made.,这些就是我们做的炭砖,[]
Now I'm going to take you to a different continent. This is India and this is the most commonly used cooking fuel in India. It's cow dung.,现在我们到亚洲再来看看印度 这是印度最常见的炊事燃料——牛粪,"[{'original_entity': 'India', 'translated_entity': '印度', 'entity_type': 'GPE'}, {'original_entity': 'India', 'translated_entity': '印度', 'entity_type': 'GPE'}]"
"And more than in Haiti, this produces really smoky fires, and this is where you see the health impacts of cooking with cow dung and biomass as a fuel.",这产生的油烟比海地的还厉害 你看，健康问题 就是因为燃烧牛粪或其他生物燃料造成的,"[{'original_entity': 'Haiti', 'translated_entity': '海地', 'entity_type': 'GPE'}]"
"Kids and women are especially affected by it, because they're the ones who are around the cooking fires.",儿童和妇女尤受影响 因为他们经常在厨房里转悠,[]
So we wanted to see if we could introduce this charcoal-making technology there.,我们想看看是否能引进 之前的制炭技术,[]
"Well, unfortunately, they didn't have sugarcane and they didn't have cassava, but that didn't stop us.",可惜，印度没甘蔗 也没木薯，但这些都难不倒我们,[]
What we did was we found what were the locally available sources of biomass.,我们还是就地取材,[]
And there was wheat straw and there was rice straw in this area.,用这里的麦秆和稻秆加工成燃料,[]
"And what we could use as a binder was actually small amounts of cow manure, which they used ordinarily for their fuel.",至于粘合剂 就用少量的牛粪 而原本这些牛粪都是直接做燃料的,[]
"And we did side-by-side tests, and here you can see the charcoal briquettes and here the cow dung.",我们做了些对比试验，大家可以看到 炭砖和牛粪做对比,[]
And you can see that it's a lot cleaner burning of a cooking fuel.,很明显炭砖清洁得多,[]
"And in fact, it heats the water a lot more quickly.",而且烧水速度也快很多,[]
"And so we were very happy, thus far.",所以我们都很开心,[]
"But one of the things that we found was when we did side-by-side comparisons with wood charcoal, it didn't burn as long. And the briquettes crumbled a little bit and we lost energy as they fell apart as they were cooking.",但是我们发现 和一般木炭比 炭砖不持久，一下就碎了 于是热量就分散开来，导致烧饭的时候很费力,"[{'original_entity': 'one', 'translated_entity': '一个', 'entity_type': 'CARDINAL'}]"
So we wanted to try to find a way to make a stronger briquette so that we could compete with wood charcoal in the markets in Haiti.,我们就想办法把炭砖做得更紧实 这样就能和海地市场上的木炭竞争了,"[{'original_entity': 'Haiti', 'translated_entity': '海地', 'entity_type': 'GPE'}]"
"So we went back to MIT, we took out the Instron machine and we figured out what sort of forces you needed in order to compress a briquette to the level that you actually are getting improved performance out of it?",我们回到麻省，找出英斯特朗电子强力测试仪 分析出用多少压缩力度 压缩出的炭砖 会有一个质的飞跃,"[{'original_entity': 'MIT', 'translated_entity': '麻省理工学院', 'entity_type': 'ORG'}, {'original_entity': 'Instron', 'translated_entity': '因斯特朗', 'entity_type': 'GPE'}]"
"And at the same time that we had students in the lab looking at this, we also had community partners in Haiti working to develop the process, to improve it and make it more accessible to people in the villages there.",一方面我的学生们在实验室里研究 一方面海地的社区伙伴也同我们合作 努力改良炭砖，让人人都用得上,"[{'original_entity': 'Haiti', 'translated_entity': '海地', 'entity_type': 'GPE'}]"
"And after some time, we developed a low-cost press that allows you to produce charcoal, actually, it burns longer, cleaner than wood charcoal.",一段时间之后 我们发明了低成本制木炭法，新的产品 比一般木炭燃烧更持久也更清洁,[]
"So now we're in a situation where we have a product, which is actually better than what you can buy in Haiti in the marketplace, which is a very wonderful place to be.",所以我们现在就有一个 比海地市场上的木炭更好的产品 这是一个很好的状况,"[{'original_entity': 'Haiti', 'translated_entity': '海地', 'entity_type': 'GPE'}]"
"In Haiti alone, about 30 million trees are cut down every year.",仅海地一国，每年就有3000万棵树被砍伐,"[{'original_entity': 'Haiti', 'translated_entity': '海地', 'entity_type': 'GPE'}, {'original_entity': 'about 30 million', 'translated_entity': '大约有三千万人', 'entity_type': 'CARDINAL'}, {'original_entity': 'every year', 'translated_entity': '每年', 'entity_type': 'DATE'}]"
There's a possibility of this being implemented and saving a good portion of those.,这个产品如果能得到应用 能救很多树,[]
"In addition, the revenue generated from that charcoal is 260 million dollars.",另外，这种新木炭每年能创收2.6亿美元,"[{'original_entity': '260 million dollars', 'translated_entity': '两亿六千万美元', 'entity_type': 'MONEY'}]"
That's an awful lot for a country like Haiti -- with a population of eight million and an average income of less than 400 dollars.,这可是一大笔钱 海地人口800万 人均收入不足400美元,"[{'original_entity': 'Haiti', 'translated_entity': '海地', 'entity_type': 'GPE'}, {'original_entity': 'eight million', 'translated_entity': '八百万', 'entity_type': 'CARDINAL'}, {'original_entity': 'less than 400 dollars', 'translated_entity': '不到400美元', 'entity_type': 'MONEY'}]"
So this is where we're also moving ahead with our charcoal project.,因此我们想在海地继续这个木炭项目,[]
"And one of the things that I think is also interesting, is I have a friend up at UC Berkeley who's been doing risk analysis.",还有一件有意思的事情是 我有个朋友在伯克利大学是做风险研究的,"[{'original_entity': 'one', 'translated_entity': '一个', 'entity_type': 'CARDINAL'}, {'original_entity': 'UC Berkeley', 'translated_entity': '伯克利大学', 'entity_type': 'FAC'}]"
And he's looked at the problem of the health impacts of burning wood versus charcoal.,他研究了对健康 木材和木炭分别会造成什么影响 他发现只要改用木炭作燃料,[]
"And he's found that worldwide, you could prevent a million deaths switching from wood to charcoal as a cooking fuel.",在世界范围内就能有100万人可以幸免于难 这真是很棒 本来做木炭都是需要木材的,"[{'original_entity': 'a million', 'translated_entity': '百万', 'entity_type': 'CARDINAL'}]"
But now we have a way that's using an agricultural waste material to create a cooking fuel.,但现在我们能 变农业废物为炊事燃料,[]
"One of the really exciting things, though, is something that came out of the trip that I took to Ghana just last month.",最让人激动的是 上个月我去加纳时了解到的一个信息,"[{'original_entity': 'One', 'translated_entity': '一个', 'entity_type': 'CARDINAL'}, {'original_entity': 'Ghana', 'translated_entity': '加纳', 'entity_type': 'GPE'}, {'original_entity': 'just last month', 'translated_entity': '就在上个月', 'entity_type': 'DATE'}]"
"And I think it's the coolest thing, and it's even lower tech than what you just saw, if you can imagine such a thing. Here it is.",这个不但非常酷 而且在技术层面上也比前面的那些更简单 如果你们能想象的到的话。就是这个。,[]
So what is this? This is corncobs turned into charcoal.,这是什么呢？这是把玉米棒做成木炭,[]
"And the beauty of this is that you don't need to form briquettes -- it comes ready made. This is my $100 laptop, right here.",这个的好处就是你都不需要把炭压缩成块 因为玉米棒本来就是一块块的。 这就是我的100美元手提电脑项目了,"[{'original_entity': '100', 'translated_entity': '百', 'entity_type': 'MONEY'}]"
"And actually, like Nick, I brought samples.",和尼克一样，我也带了样品给大家,"[{'original_entity': 'Nick', 'translated_entity': '尼克', 'entity_type': 'PERSON'}]"
So we can pass these around.,大家相互传一下,[]
"They're fully functional, field-tested, ready to roll out.",很好用，经过测试，能立刻燃烧,[]
"which is also remarkable about this technology, is that the technology transfer is so easy.",这项技术妙在 容易转让,[]
"Compared to the sugarcane charcoal, where we have to teach people how to form it into briquettes and you have the extra step of cooking the binder, And this is about the most exciting thing in my life right now, which is perhaps a sad commentary on my life.",就甘蔗木炭而言 我们要培训当地人如何压缩木炭 还要多出一步制粘合剂 玉米棒木炭自己成型，不需经过压缩的步骤 而这是我一生中最让我激动的事了 也是我一个小小的遗憾的注脚,[]
"But once you see it, like you guys in the front row -- All right, yeah, OK.",但是一旦你见过，就像第一排的人 恩，对，反正,[]
